Update Time,Jurisdiction,Route,MRM,Description,Label
"03/29/2025 04:09 PM ET","Fairfax (County)","I-495N",45,"On I-495 at mile marker 45 in the County of Fairfax, motorists can expect delays due to a disabled vehicle. The north left shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"03/29/2025 03:22 PM ET","Fairfax (County)","I-495N",52.4,"On I-495 at mile marker 52.4 in the County of Fairfax, motorists can expect delays due to a disabled tractor trailer. The north exit 52 narrows.","Minor Incident - Traffic - Disabled Tractor Trailer"
"03/29/2025 03:53 PM ET","Dinwiddie (County)","Rt. 677E (Dinwiddie County)",0.8,"On Rt. 677 East in the County of Dinwiddie, in the vicinity of Carson Dr; Johnson Rd; VA-345E/W; Rt. 608N/S (Prince George County); County/City/Town Line: PRINCE GEORGE COUNTY LINE, motorists can expect delays due to a vehicle crash.","Minor Incident - Traffic - Vehicle Crash"
"03/29/2025 03:26 PM ET","Norfolk (City)","I-264W",9.2,"On I-264 at mile marker 9.2 in the City of Norfolk, near Campostella Road, motorists can expect delays due to a disabled vehicle. The west right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"03/29/2025 04:13 PM ET","Fairfax (County)","I-95N",175.6,"On I-95 at mile marker 175.6 in the County of Fairfax, motorists can expect delays due to a disabled vehicle. The north left lane is closed.","Major Incident - Traffic - Disabled Vehicle"
"03/29/2025 04:09 PM ET","Chesterfield (County)","VA-288N",8.7,"On VA-288 North in the County of Chesterfield, in the vicinity of the ramp to Courthouse Road, motorists can expect delays due to a vehicle crash.","Minor Incident - Traffic - Vehicle Crash"
"03/29/2025 04:03 PM ET","Stafford (County)","I-95N",137.8,"On I-95 at mile marker 137.8 in the County of Stafford, motorists can expect delays due to a disabled vehicle. The north right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"03/29/2025 02:53 PM ET","Carroll (County)","I-77N",0,"On I-77 North at mile marker 0 in the County of Carroll, motorists can expect delays due to high wind.","Minor Incident - High Wind - Advisory"
"03/29/2025 04:09 PM ET","Fairfax (County)","I-495S",55,"On I-495 at mile marker 55 in the County of Fairfax, motorists can expect delays due to a disabled vehicle. The south right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"03/29/2025 04:10 PM ET","Virginia Beach (City)","I-264E",19.2,"On I-264 at mile marker 19.2 in the City of Virginia Beach, near Rosemont Road, motorists can expect delays due to a vehicle crash. The east left shoulder, left lane, left center lane, and right shoulder are closed.","Major Incident - Traffic - Vehicle Crash"
"03/29/2025 03:26 PM ET","Arlington (County)","I-395R",8.4,"On I-395R North at mile marker 8.4 in the County of Arlington, motorists can expect major delays due to congestion. Traffic backups are approximately 2.0 miles.","Major Incident - Traffic - Congestion/Delay"
"03/29/2025 03:45 PM ET","Dinwiddie (County)","I-85N",56,"On I-85 at mile marker 56 in the County of Dinwiddie, motorists can expect delays due to a disabled vehicle. The north right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"03/29/2025 03:50 PM ET","Botetourt (County)","I-81N",167.7,"On I-81 at mile marker 167.7 in the County of Botetourt, motorists can expect delays due to a disabled vehicle. The north left shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"03/29/2025 03:59 PM ET","Fairfax (County)","I-95N",175,"On I-95 at mile marker 175 in the County of Fairfax, motorists can expect delays due to a disabled vehicle. The north right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"03/29/2025 03:46 PM ET","Fairfax (County)","On I-495S Express Lanes at mile marker 44.8","","On I-495S Express Lanes at mile marker 44.8 in the County of Fairfax, motorists can expect major delays due to congestion. Traffic backups are approximately 1.0 mile.","Minor Incident - Traffic - Congestion/Delay"
"03/29/2025 02:53 PM ET","Carroll (County)","I-77S",24,"On I-77 South at mile marker 24 in the County of Carroll, motorists can expect delays due to high wind.","Minor Incident - High Wind - Advisory"
"03/29/2025 04:02 PM ET","Chesterfield (County)","VA-288N",8.7,"On VA-288 in the County of Chesterfield, in the vicinity of the ramp to Courthouse Road, motorists can expect delays due to a multi-vehicle crash. The north exit ramp is closed.","Minor Incident - Traffic - Multi-Vehicle Crash"
"03/29/2025 04:12 PM ET","Norfolk (City)","I-64W",272.4,"On I-64 West in the City of Norfolk, at Hampton Roads Bridge Tunnel West, motorists can expect delays due to congestion. Traffic backups are approximately 4.5 miles.","Major Incident - Traffic - Congestion/Delay"
"03/29/2025 04:11 PM ET","Fairfax (County)","I-66E",55.2,"On I-66 East at mile marker 55.2 in the County of Fairfax, motorists can expect delays due to a disabled vehicle.","Minor Incident - Traffic - Disabled Vehicle"
"03/29/2025 03:32 PM ET","Spotsylvania (County)","I-95N",127,"On I-95 at mile marker 127 in the County of Spotsylvania, motorists can expect delays due to a disabled vehicle. The north right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"03/29/2025 04:14 PM ET","Fairfax (County)","I-66W",49.9,"On I-66 at mile marker 49.9 in the County of Fairfax, motorists can expect delays due to a disabled vehicle. The west right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"03/29/2025 03:46 PM ET","Fairfax (County)","I-495N",47.7,"On I-495 at mile marker 47.7 in the County of Fairfax, motorists can expect delays due to a disabled vehicle. The north right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"03/29/2025 04:06 PM ET","Henrico (County)","I-64W",178.5,"On I-64 at mile marker 178.5 in the County of Henrico, motorists can expect delays due to a vehicle crash. The west right shoulder is closed.","Minor Incident - Traffic - Vehicle Crash"
"03/29/2025 03:55 PM ET","Hampton (City)","I-64E",270,"On I-64 East in the City of Hampton, at Hampton Roads Bridge Tunnel East, motorists can expect delays due to congestion. Traffic backups are approximately 3.0 miles.","Major Incident - Traffic - Congestion/Delay"
"03/29/2025 04:12 PM ET","Frederick (County)","I-81N",307.7,"On I-81 North at mile marker 307.7 in the County of Frederick, motorists can expect delays due to a disabled vehicle.","Minor Incident - Traffic - Disabled Vehicle"
