Update Time,Jurisdiction,Route,MRM,Description,Label
"03/12/2025 09:10 AM ET","Richmond (City)","I-95S",77.4,"On I-95 at mile marker 77.4 in the City of Richmond, motorists can expect delays due to a vehicle crash. The south right shoulder is closed.","Minor Incident - Traffic - Vehicle Crash"
"03/12/2025 09:20 AM ET","Chesapeake (City)","I-64E",291.9,"On I-64 at mile marker 291.9 in the City of Chesapeake, near I-464 Interchange, motorists can expect delays due to a vehicle crash. The east left shoulder is closed.","Minor Incident - Traffic - Vehicle Crash"
"03/12/2025 09:12 AM ET","Fairfax (County)","On I-495N Express Lanes at mile marker 46","","On I-495N Express Lanes at mile marker 46 in the County of Fairfax, motorists can expect potential delays due to a disabled vehicle.","Minor Incident - Traffic - Disabled Vehicle"
"03/12/2025 08:07 AM ET","Arlington (County)","I-395N HOV",9.5,"On I-395N HOV North at mile marker 9.5 in the County of Arlington, motorists can expect major delays due to congestion. Traffic backups are approximately 1.0 mile.","Minor Incident - Traffic - Congestion/Delay"
"03/12/2025 09:02 AM ET","Grayson (County)","US-58E",168.8,"On US-58 East in the County of Grayson, in the vicinity of Cherrywood Ln; Rt. 811E/W (Grayson County), motorists can expect delays due to a vehicle crash. Lane closures exist.","Minor Incident - Traffic - Vehicle Crash"
"03/12/2025 08:49 AM ET","Nelson (County)","VA-151N",20.2,"On VA-151 in the County of Nelson, in the vicinity of Rhue Hollow Rd; Rt. 628E/W (Nelson County), motorists can expect delays due to a tractor trailer crash. The north right lane is closed.","Major Incident - Traffic - Tractor Trailer Crash"
"03/12/2025 09:07 AM ET","Caroline (County)","I-95N",102.1,"On I-95 at mile marker 102.1 in the County of Caroline, motorists can expect delays due to a vehicle crash. The north right shoulder is closed.","Minor Incident - Traffic - Vehicle Crash"
"03/12/2025 09:16 AM ET","Franklin (County)","VA-40E",19.6,"On VA-40 East in the County of Franklin, in the vicinity of Pernello Rd; Sawmill Rd; Rt. 752N/S (Franklin County); Rt. 781E/W (Franklin County), motorists can expect delays due to a vehicle crash. Lane closures exist.","Minor Incident - Traffic - Vehicle Crash"
"03/12/2025 09:19 AM ET","Chesapeake (City)","I-464S",0.9,"On I-464 at mile marker 0.9 in the City of Chesapeake, near Military Highway, motorists can expect delays due to a vehicle crash. The south right lane and right shoulder are closed.","Major Incident - Traffic - Vehicle Crash"
"03/12/2025 08:32 AM ET","Richmond (City)","I-95S",76.7,"On I-95 at mile marker 76.7 in the City of Richmond, motorists can expect delays due to a vehicle crash. The south right shoulder is closed.","Minor Incident - Traffic - Vehicle Crash"
"03/12/2025 09:23 AM ET","Virginia Beach (City)","I-264W",16.6,"On I-264 West at mile marker 16.6 in the City of Virginia Beach, near Independence Boulevard, motorists can expect delays due to a vehicle crash.","Minor Incident - Traffic - Vehicle Crash"
"03/12/2025 09:24 AM ET","Richmond (City)","I-95N",79,"On I-95 at mile marker 79 in the City of Richmond, motorists can expect delays due to a vehicle crash. The north exit ramp narrows.","Minor Incident - Traffic - Vehicle Crash"
"03/12/2025 09:24 AM ET","Fairfax (County)","I-95N",171.8,"On I-95 at mile marker 171.8 in the County of Fairfax, motorists can expect delays due to a vehicle crash. The north entrance ramp narrows.","Minor Incident - Traffic - Vehicle Crash"
"03/12/2025 09:24 AM ET","Prince William (County)","US-1N",0,"On US-1 North in the County of Prince William, in the vicinity of Dawson Beach Rd; Rt. 906N/S (Prince William County); Rt. 687N/S (Prince William County), motorists can expect delays due to a vehicle crash.","Minor Incident - Traffic - Vehicle Crash"
"03/12/2025 09:16 AM ET","Washington (County)","Rt. 645E (Washington County)",6.6,"On Rt. 645 in the County of Washington, in the vicinity of Astor Rd; Rt. 869N/S (Washington County), motorists can expect delays due to a disabled tractor trailer. All east lanes are closed. All west lanes are closed.","Major Incident - Traffic - Disabled Tractor Trailer"
"03/12/2025 09:24 AM ET","James City (County)","I-64W",244.8,"On I-64 at mile marker 244.8 in the County of James City, near Busch Gardens, motorists can expect delays due to a disabled vehicle. The west right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"03/12/2025 09:04 AM ET","Stafford (County)","I-95S",144.1,"On I-95 at mile marker 144.1 in the County of Stafford, motorists can expect delays due to a disabled vehicle. The south exit 143B narrows.","Minor Incident - Traffic - Disabled Vehicle"
"03/12/2025 09:08 AM ET","Fairfax (County)","I-95R",164.3,"Gate Strike","Minor Incident - Traffic - Other Traffic"
"03/12/2025 09:22 AM ET","Chesapeake (City)","I-64E",295.4,"On I-64 at mile marker 295.4 in the City of Chesapeake, near George Washington Highway, motorists can expect delays due to a multi-vehicle crash. The east right lane and right shoulder are closed. Traffic backups are approximately 4.0 miles.","Major Incident - Traffic - Multi-Vehicle Crash"
"03/12/2025 09:03 AM ET","Stafford (County)","I-95N",143.7,"On I-95 at mile marker 143.7 in the County of Stafford, motorists can expect delays due to a vehicle crash. The north left shoulder is closed.","Minor Incident - Traffic - Vehicle Crash"
