Update Time,Jurisdiction,Route,MRM,Description,Label
"02/11/2025 08:12 PM ET","Stafford (County)","Rt. 623E (Stafford County)",0.8,"On Rt. 623 East in the County of Stafford, in the vicinity of Harrell Rd; Woodlawn Dr; Rt. 1027N/S (Stafford County), motorists can expect delays due to a vehicle crash.","Minor Incident - Traffic - Vehicle Crash"
"02/11/2025 08:09 PM ET","Chesterfield (County)","I-95S",70,"On I-95 at mile marker 70 in the County of Chesterfield, motorists can expect delays due to a disabled vehicle. The south right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"02/11/2025 07:46 PM ET","Rappahannock (County)","US-522S",110.15,"On US-522 in the County of Rappahannock, in the vicinity of Black Rock Ford Rd; Rt. 632E/W (Rappahannock County), motorists can expect delays due to a vehicle crash. All north lanes are closed. All south lanes are closed.","Major Incident - Traffic - Vehicle Crash"
"02/11/2025 07:29 PM ET","Madison (County)","VA-231N",34.47,"On VA-231 in the County of Madison, in the vicinity of Old Blue Ridge Tpke; Rt. 670N/S (Madison County), motorists can expect delays due to a tractor trailer crash. All north lanes are closed. All south lanes are closed.","Major Incident - Traffic - Tractor Trailer Crash"
"02/11/2025 07:48 PM ET","Franklin (County)","US-220N",51.11,"On US-220 in the County of Franklin, in the vicinity of Naff Rd; Rt. 613E/W (Franklin County), motorists can expect delays due to a tractor trailer crash. The north right lane and right shoulder are closed.","Major Incident - Traffic - Tractor Trailer Crash"
"02/11/2025 06:57 PM ET","Goochland (County)","US-522S",10.5,"On US-522 South in the County of Goochland, in the vicinity of River Rd W; Scott Rd, motorists can expect potential delays due to icy conditions.","Minor Incident - Icy Conditions - Advisory"
"02/11/2025 07:21 PM ET","Hanover (County)","Rt. 623E (Hanover County)",2.89,"On Rt. 623 East in the County of Hanover, in the vicinity of Cauthorne Rd; Rt. 624E/W (Hanover County), motorists can expect delays due to a vehicle crash.","Minor Incident - Traffic - Vehicle Crash"
"02/11/2025 07:16 PM ET","Rockingham (County)","US-33E",2.2,"On US-33 in the County of Rockingham, in the vicinity of Last Left Ln, motorists can expect delays due to a disabled tractor trailer. All east lanes are closed. All west lanes are closed.","Major Incident - Traffic - Disabled Tractor Trailer"
"02/11/2025 06:38 PM ET","Carroll (County)","I-77S",24,"On I-77 South at mile marker 24 in the County of Carroll, motorists can expect delays due to fog.","Minor Incident - Fog - Advisory"
"02/11/2025 08:02 PM ET","Fairfax (County)","I-495N",49,"On I-495 at mile marker 49 in the County of Fairfax, motorists can expect delays due to a disabled vehicle. The north right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"02/11/2025 07:53 PM ET","Fairfax (County)","I-95R",169.4,"On I-95R at mile marker 169.4 in the County of Fairfax, motorists can expect potential delays due to a disabled vehicle. The south entrance ramp is closed.","Minor Incident - Traffic - Disabled Vehicle"
"02/11/2025 07:57 PM ET","Richmond (City)","I-195N",1.62,"On I-195 at mile marker 1.6 in the City of Richmond, motorists can expect delays due to a multi-vehicle crash. The north left center lane, right center lane, right lane, and right shoulder are closed.","Major Incident - Traffic - Multi-Vehicle Crash"
"02/11/2025 09:31 AM ET","Augusta (County)","I-64W",99.9,"On I-64 West at mile marker 99.9 in the County of Augusta, motorists can expect delays due to fog.","Minor Incident - Fog - Advisory"
"02/11/2025 07:36 PM ET","Botetourt (County)","Rt. 791N (Botetourt County)",0.2,"On Rt. 791 in the County of Botetourt, in the vicinity of Mountain Pass Rd; Rt. 652E/W (Botetourt County), motorists can expect delays due to a vehicle crash. All north lanes are closed.","Major Incident - Traffic - Vehicle Crash"
"02/11/2025 07:55 PM ET","Augusta (County)","US-11N",228.3,"On US-11 in the County of Augusta, in the vicinity of Howardsville Rd; Lee-Jackson Hwy; Rt. 701E/W (Augusta County), motorists can expect delays due to a disabled tractor trailer. All north lanes are closed.","Major Incident - Traffic - Disabled Tractor Trailer"
"02/11/2025 08:15 PM ET","Stafford (County)","On I-95R Express Lanes at mile marker 136.6","","On I-95R Express Lanes at mile marker 136.6 in the County of Stafford, motorists can expect potential delays due to a disabled vehicle. The south right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"02/11/2025 07:52 PM ET","Prince William (County)","On I-95S Express Lanes exit ramp to Prince William Parkway","","On I-95S Express Lanes exit ramp to Prince William Parkway in the County of Prince William, motorists can expect potential delays due to an incident. The south exit ramp is closed.","Minor Incident - Traffic - Other Traffic"
"02/11/2025 01:03 PM ET","Chesterfield (County)","VA-150N",11.29,"On VA-150 North in the County of Chesterfield, in the vicinity of the ramp to VA-10, motorists can expect delays due to icy conditions.","Minor Incident - Icy Conditions - Advisory"
"02/11/2025 08:15 PM ET","Loudoun (County)","VA-9W",3.95,"On VA-9 in the County of Loudoun, in the vicinity of Cider Mill Rd; Rt. 751N/S (Loudoun County), motorists can expect delays due to a vehicle crash. All east lanes are closed. All west lanes are closed.","Major Incident - Traffic - Vehicle Crash"
"02/11/2025 06:46 PM ET","Henrico (County)","I-295N",38,"On I-295 at mile marker 38 in the County of Henrico, motorists can expect delays due to a vehicle crash. The north right shoulder is closed.","Minor Incident - Traffic - Vehicle Crash"
"02/11/2025 07:20 PM ET","Fauquier (County)","US-29N",201.75,"On US-29 in the County of Fauquier, in the vicinity of Lees Mill Rd; Rt. 651N/S (Fauquier County), motorists can expect delays due to a tractor trailer crash. The north left shoulder, right lane, and right shoulder are closed.","Major Incident - Traffic - Tractor Trailer Crash"
"02/11/2025 07:59 PM ET","Caroline (County)","I-95N",114,"On I-95 at mile marker 114 in the County of Caroline, motorists can expect delays due to a tractor trailer crash. The north right shoulder is closed.","Minor Incident - Traffic - Tractor Trailer Crash"
"02/11/2025 08:09 PM ET","Prince William (County)","I-95S",156,"On I-95 at mile marker 156 in the County of Prince William, motorists can expect delays due to a vehicle crash. The south exit ramp is closed.","Minor Incident - Traffic - Vehicle Crash"
"02/11/2025 08:14 PM ET","Lawrenceville (Town)","Rt. 678E (Brunswick County)",0,"On Rt. 678 in the Town of Lawrenceville, in the vicinity of N Main St; S Main St; W Railroad St; Rt. 713N/S (Brunswick County), motorists can expect delays due to standing water. All east lanes are closed. All west lanes are closed.","Major Incident - Standing Water - Closed"
"02/11/2025 08:14 PM ET","Alleghany (County)","I-64W",18.8,"On I-64 at mile marker 18.8 in the County of Alleghany, motorists can expect delays due to a disabled vehicle. The west right lane and right shoulder are closed.","Major Incident - Traffic - Disabled Vehicle"
"02/11/2025 08:01 PM ET","Fairfax (County)","I-495S",57,"On I-495 at mile marker 57 in the County of Fairfax, motorists can expect delays due to an incident. The south exit 57B is closed.","Minor Incident - Traffic - Other Traffic"
"02/11/2025 08:12 PM ET","Loudoun (County)","Rt. 2200E (Loudoun County)",0.4,"On Rt. 2200 in the County of Loudoun, in the vicinity of South Riding Blvd; Tall Cedars Pkwy; Rt. 2201N/S (Loudoun County), near Poland Road and Twin Cedar Way, motorists can expect delays due to a vehicle crash. All east lanes are closed. All west lanes are closed.","Major Incident - Traffic - Vehicle Crash"
"02/11/2025 08:12 PM ET","Fauquier (County)","I-66E",20.8,"On I-66 at mile marker 20.8 in the County of Fauquier, motorists can expect delays due to a disabled vehicle. The east left shoulder and left lane are closed.","Major Incident - Traffic - Disabled Vehicle"
"02/11/2025 08:10 PM ET","Loudoun (County)","VA-9E",10.87,"On VA-9 in the County of Loudoun, in the vicinity of Hamilton Station Rd; Rt. 704N/S (Loudoun County), near Charles Town Pike and Golden Springs Court, motorists can expect delays due to a vehicle crash. All east lanes are closed. All west lanes are closed.","Major Incident - Traffic - Vehicle Crash"
"02/11/2025 08:09 PM ET","Newport News (City)","I-64E",259.1,"On I-64 East at mile marker 259.1 in the City of Newport News, near Harpersville Road, motorists can expect delays due to a disabled vehicle.","Minor Incident - Traffic - Disabled Vehicle"
"02/11/2025 08:12 PM ET","Hanover (County)","I-95N",89,"On I-95 at mile marker 89 in the County of Hanover, motorists can expect delays due to a disabled vehicle. The north left shoulder and left lane are closed.","Major Incident - Traffic - Disabled Vehicle"
"02/11/2025 07:52 PM ET","Rockingham (County)","VA-259S",19.4,"On VA-259 in the County of Rockingham, in the vicinity of Bergton Rd; Rt. 820N/S (Rockingham County), motorists can expect delays due to a tractor trailer crash. All north lanes are closed. All south lanes are closed.","Major Incident - Traffic - Tractor Trailer Crash"
"02/11/2025 08:09 PM ET","Stafford (County)","Rt. 608N (Stafford County)",8.04,"On Rt. 608 in the County of Stafford, in the vicinity of Raven Rd; Rt. 609N/S (Stafford County), near Nature Lane, motorists can expect delays due to a multi-vehicle crash. All north lanes are closed. All south lanes are closed.","Major Incident - Traffic - Multi-Vehicle Crash"
"02/11/2025 08:07 PM ET","Henrico (County)","I-64W",181.8,"On I-64 at mile marker 181.8 in the County of Henrico, motorists can expect delays due to a vehicle crash. The west right shoulder is closed.","Minor Incident - Traffic - Vehicle Crash"
"02/11/2025 08:13 PM ET","Albemarle (County)","I-64W",101.8,"On I-64 at mile marker 101.8 in the County of Albemarle, motorists can expect delays due to a disabled tractor trailer. The west right lane and right shoulder are closed.","Major Incident - Traffic - Disabled Tractor Trailer"
"02/11/2025 01:58 PM ET","Fairfax (County)","On I-66W Express Lanes from mile marker 65 to mile marker 43","","On I-66W Express Lanes from mile marker 65 to mile marker 43 in the County of Fairfax, motorists can expect potential delays due to icy conditions.","Minor Incident - Icy Conditions - Advisory"
"02/11/2025 07:53 PM ET","Fairfax (County)","I-95R",162.8,"On I-95R at mile marker 162.8 in the County of Fairfax, motorists can expect potential delays due to a disabled vehicle. The south right lane and right shoulder are closed.","Major Incident - Traffic - Disabled Vehicle"
"02/11/2025 08:13 PM ET","Fairfax (County)","I-495N",50,"On I-495 at mile marker 50 in the County of Fairfax, motorists can expect delays due to a disabled vehicle. The north right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"02/11/2025 08:09 PM ET","Spotsylvania (County)","I-95S",132.3,"On I-95 at mile marker 132.3 in the County of Spotsylvania, motorists can expect delays due to a vehicle crash. The south right shoulder is closed.","Minor Incident - Traffic - Vehicle Crash"
"02/11/2025 06:37 PM ET","Carroll (County)","I-77N",0,"On I-77 North at mile marker 0 in the County of Carroll, motorists can expect delays due to fog.","Minor Incident - Fog - Advisory"
