Update Time,Jurisdiction,Route,MRM,Description,Label
"05/20/2025 08:28 AM ET","Stafford (County)","I-95N",137,"On I-95 at mile marker 137 in the County of Stafford, motorists can expect delays due to a multi-vehicle crash. The north left shoulder is closed.","Minor Incident - Traffic - Multi-Vehicle Crash"
"05/20/2025 08:36 AM ET","Frederick (County)","I-81S",315.3,"On I-81 at mile marker 315.3 in the County of Frederick, motorists can expect delays due to a tractor trailer crash. The south right shoulder is closed. Traffic backups are approximately 2.0 miles.","Major Incident - Traffic - Tractor Trailer Crash"
"05/20/2025 08:35 AM ET","Augusta (County)","Rt. 800N (Augusta County)",0.9,"On Rt. 800 in the County of Augusta, in the vicinity of White Hill Rd; Rt. 654E/W (Augusta County), motorists can expect delays due to a tractor trailer crash. The south right shoulder is closed.","Minor Incident - Traffic - Tractor Trailer Crash"
"05/20/2025 08:28 AM ET","Prince William (County)","I-66E",45.2,"On I-66 at mile marker 45.2 in the County of Prince William, motorists can expect delays due to a vehicle crash. The east right shoulder is closed.","Minor Incident - Traffic - Vehicle Crash"
"05/20/2025 08:15 AM ET","Woodstock (Town)","US-11N",300.4,"On US-11 in the Town of Woodstock, in the vicinity of E Court St; W Court St, motorists can expect delays due to an incident. All north lanes are closed. All south lanes are closed.","Major Incident - Traffic - Other Traffic"
"05/20/2025 07:55 AM ET","Norfolk (City)","I-64W",272.4,"On I-64 West in the City of Norfolk, at Hampton Roads Bridge Tunnel West, motorists can expect delays due to congestion. Traffic backups are approximately 4.5 miles.","Major Incident - Traffic - Congestion/Delay"
"05/20/2025 08:35 AM ET","Henrico (County)","I-295S",38,"On I-295 at mile marker 38 in the County of Henrico, motorists can expect delays due to a disabled tractor trailer. The south right shoulder is closed.","Minor Incident - Traffic - Disabled Tractor Trailer"
"05/20/2025 07:17 AM ET","Fairfax (County)","I-95S",174.2,"On I-95 South at mile marker 174.2 in the County of Fairfax, motorists can expect delays due to a disabled vehicle.","Minor Incident - Traffic - Disabled Vehicle"
"05/20/2025 08:30 AM ET","Suffolk (City)","I-664N",8.9,"On I-664 North in the City of Suffolk, at Monitor Merrimac Memorial Bridge Tunnel North, motorists can expect delays due to congestion. Traffic backups are approximately 1.25 miles.","Major Incident - Traffic - Congestion/Delay"
"05/20/2025 08:29 AM ET","Newport News (City)","I-64E",257.2,"On I-64 at mile marker 257.2 in the City of Newport News, near Oyster Point Road, motorists can expect delays due to a vehicle crash. The east left shoulder, left lane, and left center lane are closed.","Major Incident - Traffic - Vehicle Crash"
