Update Time,Jurisdiction,Route,MRM,Description,Label
"11/08/2025, 03:50 PM ET","Fairfax (County)","I-495S",49.1,"On I-495 at mile marker 49.1 in the County of Fairfax, motorists can expect delays due to a disabled vehicle. The south right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/08/2025, 01:54 PM ET","Montgomery (County)","Rt. 659E (Montgomery County)",1.5,"On Rt. 659 East in the County of Montgomery, in the vicinity of Easy St; Rt. 1292N/S (Montgomery County), motorists can expect delays due to weather. Lane closures exist.","Weather Incident - Other Weather - Advisory"
"11/08/2025, 07:19 AM ET","Stafford (County)","On I-95R Express Lanes at mile marker 141.6","","On I-95R Express Lanes at mile marker 141.6 in the County of Stafford, motorists can expect potential delays due to a vehicle crash. The south right lane is closed.","Major Incident - Traffic - Vehicle Crash"
"11/08/2025, 04:05 PM ET","Spotsylvania (County)","I-95S",129.6,"On I-95 at mile marker 129.6 in the County of Spotsylvania, motorists can expect delays due to a disabled vehicle. The south right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/08/2025, 04:12 PM ET","Carroll (County)","I-77S",2.6,"On I-77 at mile marker 2.6 in the County of Carroll, motorists can expect delays due to a disabled tractor trailer. The south right shoulder is closed.","Minor Incident - Traffic - Disabled Tractor Trailer"
"11/08/2025, 03:50 PM ET","Fairfax (County)","On I-66E Express Lanes at mile marker 51.8","","On I-66E Express Lanes at mile marker 51.8 in the County of Fairfax, motorists can expect potential delays due to a disabled vehicle. The east left shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/08/2025, 04:03 PM ET","Newport News (City)","I-64W",253.7,"On I-64 at mile marker 253.7 in the City of Newport News, near Denbigh Boulevard, motorists can expect delays due to a disabled vehicle. The west left shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/08/2025, 04:04 PM ET","Newport News (City)","I-64E",251.7,"On I-64 at mile marker 251.7 in the City of Newport News, near Atkinson Boulevard, motorists can expect delays due to a disabled vehicle. The east left shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/08/2025, 04:00 PM ET","Richmond (City)","I-95N",72,"On I-95 at mile marker 72 in the City of Richmond, motorists can expect delays due to a disabled vehicle. The north right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/08/2025, 03:58 PM ET","Fairfax (County)","I-95S",166.6,"On I-95 at mile marker 166.6 in the County of Fairfax, motorists can expect delays due to a disabled tractor trailer. The south right shoulder is closed.","Minor Incident - Traffic - Disabled Tractor Trailer"
"11/08/2025, 04:03 PM ET","Henrico (County)","I-95N",86,"On I-95 at mile marker 86 in the County of Henrico, motorists can expect delays due to a disabled vehicle. The north right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/08/2025, 04:07 PM ET","Fairfax (County)","I-66E",54.2,"On I-66 at mile marker 54.2 in the County of Fairfax, motorists can expect delays due to a disabled vehicle. The east right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/08/2025, 03:58 PM ET","Suffolk (City)","I-664S",13.5,"On I-664 at mile marker 13.5 in the City of Suffolk, near Bridge Road, motorists can expect delays due to a disabled vehicle. The south right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/08/2025, 04:02 PM ET","Prince William (County)","I-95S",155.6,"On I-95 at mile marker 155.6 in the County of Prince William, motorists can expect delays due to a disabled vehicle. The south left shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/08/2025, 03:46 PM ET","Loudoun (County)","Rt. 2201S (Loudoun County)",0.5,"On Rt. 2201 South in the County of Loudoun, in the vicinity of S Riding Blvd; Stonewall Pond St; Rt. 2207E/W (Loudoun County), motorists can expect delays due to a vehicle crash. Lane closures exist.","Minor Incident - Traffic - Vehicle Crash"
"11/08/2025, 03:56 PM ET","Fairfax (County)","I-95N",175.3,"On I-95 at mile marker 175.3 in the County of Fairfax, motorists can expect delays due to a disabled vehicle. The north right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/08/2025, 12:05 PM ET","Campbell (County)","Rt. 677N (Campbell County)",3.4,"On Rt. 677 North in the County of Campbell, in the vicinity of Ross Woods Dr; Rt. 1480E/W (Campbell County), motorists can expect delays due to weather. Lane closures exist.","Weather Incident - Other Weather - Advisory"
"11/08/2025, 03:51 PM ET","Augusta (County)","Rt. 683E (Augusta County)",1.6,"On Rt. 683 in the County of Augusta, in the vicinity of Little River Rd; Rt. 684N/S (Augusta County); Rt. 683E (Augusta County), Rt. 684N/S (Augusta County), motorists can expect delays due to a vehicle crash. All east lanes are closed. All west lanes are closed.","Major Incident - Traffic - Vehicle Crash"
"11/08/2025, 04:07 PM ET","Warren (County)","I-66W",3.8,"On I-66 West at mile marker 3.8 in the County of Warren, motorists can expect delays due to a disabled vehicle.","Minor Incident - Traffic - Disabled Vehicle"
"11/08/2025, 03:59 PM ET","Prince William (County)","I-95S",160.8,"On I-95 at mile marker 160.8 in the County of Prince William, motorists can expect delays due to a disabled tractor trailer. The south right shoulder is closed.","Minor Incident - Traffic - Disabled Tractor Trailer"
