Update Time,Jurisdiction,Route,MRM,Description,Label
"06/18/2025, 04:10 PM ET","James City (County)","I-64E",227.1,"On I-64 at mile marker 227.1 in the County of James City, near Old Stage Road, motorists can expect delays due to a disabled vehicle. The east right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"06/18/2025, 04:20 PM ET","Virginia Beach (City)","I-64E",286,"On I-64 at mile marker 286 in the City of Virginia Beach, near Providence Road, motorists can expect delays due to a disabled vehicle. The east left shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"06/18/2025, 04:19 PM ET","Suffolk (City)","I-664N",8.9,"On I-664 in the City of Suffolk, at Monitor Merrimac Memorial Bridge Tunnel North, motorists can expect delays due to a disabled vehicle. The north right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"06/18/2025, 04:02 PM ET","Hampton (City)","I-64E",270,"On I-64 East in the City of Hampton, at Hampton Roads Bridge Tunnel East, motorists can expect delays due to congestion. Traffic backups are approximately 4.0 miles.","Major Incident - Traffic - Congestion/Delay"
"06/18/2025, 02:36 PM ET","Hampton (City)","I-64E",270,"On I-64 in the City of Hampton, at Hampton Roads Bridge Tunnel East, motorists can expect potential delays due to a bridge/tunnel stoppage. All east lanes are closed.","Major Incident - Traffic - Bridge/Tunnel Stoppage"
"06/18/2025, 04:08 PM ET","Portsmouth (City)","I-264E",1.4,"On I-264 at mile marker 1.4 in the City of Portsmouth, near Greenwood Drive, motorists can expect delays due to a disabled vehicle. The east exit 2A narrows.","Minor Incident - Traffic - Disabled Vehicle"
"06/18/2025, 04:05 PM ET","Southampton (County)","Rt. 616N (Southampton County)",16.7,"On Rt. 616 North in the County of Southampton, in the vicinity of New Rd; Rawls Dr; Rt. 622E/W (Southampton County), motorists can expect delays due to a vehicle crash. Lane closures exist.","Minor Incident - Traffic - Vehicle Crash"
"06/18/2025, 03:58 PM ET","Fairfax (County)","On I-495S Express Lanes at mile marker 50.2","","On I-495S Express Lanes at mile marker 50.2 in the County of Fairfax, motorists can expect major delays due to congestion. Traffic backups are approximately 1.0 mile.","Minor Incident - Traffic - Congestion/Delay"
"06/18/2025, 03:12 PM ET","Newport News (City)","I-664S",7.8,"On I-664 South in the City of Newport News, at Monitor Merrimac Memorial Bridge Tunnel South, motorists can expect delays due to congestion. Traffic backups are approximately 2.0 miles.","Major Incident - Traffic - Congestion/Delay"
"06/18/2025, 03:43 PM ET","Fairfax (County)","On I-495S Express Lanes at mile marker 46.6","","On I-495S Express Lanes at mile marker 46.6 in the County of Fairfax, motorists can expect potential delays due to a disabled vehicle. The south left shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"06/18/2025, 04:09 PM ET","Hanover (County)","I-295S",38,"On I-295 at mile marker 38 in the County of Hanover, motorists can expect delays due to a disabled vehicle. The south right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"06/18/2025, 04:16 PM ET","Prince William (County)","I-95N",148.4,"On I-95 at mile marker 148.4 in the County of Prince William, motorists can expect delays due to a multi-vehicle crash. The north left shoulder is closed.","Minor Incident - Traffic - Multi-Vehicle Crash"
"06/18/2025, 03:44 PM ET","Suffolk (City)","I-664N",8.9,"On I-664 North in the City of Suffolk, at Monitor Merrimac Memorial Bridge Tunnel North, motorists can expect delays due to congestion. Traffic backups are approximately 1.25 miles.","Major Incident - Traffic - Congestion/Delay"
"06/18/2025, 04:12 PM ET","Albemarle (County)","I-64E",121.9,"On I-64 at mile marker 121.9 in the County of Albemarle, motorists can expect delays due to a vehicle crash. The east right shoulder is closed.","Minor Incident - Traffic - Vehicle Crash"
"06/18/2025, 04:12 PM ET","Cumberland (County)","Rt. 680E (Cumberland County)",0.8,"On Rt. 680 in the County of Cumberland, in the vicinity of Cumberland Rd; VA-45N/S, motorists can expect delays due to a vehicle crash. All east lanes are closed. All west lanes are closed.","Major Incident - Traffic - Vehicle Crash"
"06/18/2025, 04:20 PM ET","Fairfax (County)","I-495S",54.8,"On I-495 at mile marker 54.8 in the County of Fairfax, motorists can expect delays due to a disabled vehicle. The south right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"06/18/2025, 04:09 PM ET","Norfolk (City)","I-64W",272.4,"On I-64 West in the City of Norfolk, at Hampton Roads Bridge Tunnel West, motorists can expect delays due to congestion. Traffic backups are approximately 6.5 miles.","Major Incident - Traffic - Congestion/Delay"
"06/18/2025, 04:06 PM ET","Chesapeake (City)","I-64E",293.4,"On I-64 East in the City of Chesapeake, at High Rise Bridge, motorists can expect delays due to congestion. Traffic backups are approximately 3.0 miles.","Major Incident - Traffic - Congestion/Delay"
"06/18/2025, 04:17 PM ET","Fairfax (County)","I-95S",165.7,"On I-95 at mile marker 165.7 in the County of Fairfax, motorists can expect delays due to a disabled vehicle. The south right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"06/18/2025, 04:21 PM ET","Prince William (County)","I-95S",161.1,"On I-95 at mile marker 161.1 in the County of Prince William, motorists can expect delays due to a vehicle crash. The south right shoulder is closed.","Minor Incident - Traffic - Vehicle Crash"
"06/18/2025, 04:19 PM ET","Augusta (County)","I-81N",233,"On I-81 North at mile marker 233 in the County of Augusta, motorists can expect delays due to a multi-vehicle crash. Traffic backups are approximately 8.0 miles.","Major Incident - Traffic - Multi-Vehicle Crash"
"06/18/2025, 04:19 PM ET","Richmond (City)","I-95N",75.9,"On I-95 at mile marker 75.9 in the City of Richmond, motorists can expect delays due to a vehicle crash. The north right lane is closed.","Major Incident - Traffic - Vehicle Crash"
"06/18/2025, 03:52 PM ET","Franklin (County)","US-220S",37.2,"On US-220 South in the County of Franklin, in the vicinity of Doe Run South Ramp, motorists can expect delays due to a disabled tractor trailer. Lane closures exist.","Minor Incident - Traffic - Disabled Tractor Trailer"
"06/18/2025, 04:12 PM ET","Fairfax (County)","I-95N",171,"On I-95 at mile marker 171 in the County of Fairfax, motorists can expect delays due to a multi-vehicle crash. The north entrance ramp narrows.","Minor Incident - Traffic - Multi-Vehicle Crash"
"06/18/2025, 04:04 PM ET","Fairfax (County)","I-95N",174.2,"On I-95 at mile marker 174.2 in the County of Fairfax, motorists can expect delays due to a tractor trailer crash. The north left shoulder and left lane are closed.","Major Incident - Traffic - Tractor Trailer Crash"
"06/18/2025, 02:40 PM ET","Norfolk (City)","I-64W",272.4,"On I-64 West in the City of Norfolk, at Hampton Roads Bridge Tunnel West, motorists can expect potential delays due to a bridge/tunnel stoppage.","Minor Incident - Traffic - Bridge/Tunnel Stoppage"
"06/18/2025, 02:27 PM ET","Loudoun (County)","Rt. 665N (Loudoun County)",5.5,"On Rt. 665 North in the County of Loudoun, in the vicinity of Taylorstown Rd; Rt. 663E/W (Loudoun County), motorists can expect delays due to an incident.","Minor Incident - Traffic - Other Traffic"
"06/18/2025, 04:16 PM ET","Stafford (County)","I-95S",144.4,"On I-95 at mile marker 144.4 in the County of Stafford, motorists can expect delays due to a disabled vehicle. The south right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"06/18/2025, 03:43 PM ET","Fairfax (County)","I-495N",49.5,"On I-495 at mile marker 49.5 in the County of Fairfax, motorists can expect delays due to a disabled vehicle. The north right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
