Update Time,Jurisdiction,Route,MRM,Description,Label
"06/20/2025, 12:18 PM ET","Chesapeake (City)","I-664S",18.6,"On I-664 at mile marker 18.6 in the City of Chesapeake, near 58 Interchange, motorists can expect delays due to a disabled vehicle. The south right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"06/20/2025, 09:11 AM ET","Fairfax (County)","On I-66E Express Lanes at mile marker 50.8","","On I-66E Express Lanes at mile marker 50.8 in the County of Fairfax, motorists can expect potential delays due to a disabled vehicle. The east left shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"06/20/2025, 12:21 PM ET","Warren (County)","I-66E",1.4,"On I-66 at mile marker 1.4 in the County of Warren, motorists can expect delays due to a disabled vehicle. The east right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"06/20/2025, 12:06 PM ET","Fairfax (County)","I-495S",45,"On I-495 at mile marker 45 in the County of Fairfax, motorists can expect delays due to a disabled vehicle. The south left shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"06/20/2025, 12:14 PM ET","Chesapeake (City)","I-464S",3.7,"On I-464 at mile marker 3.7 in the City of Chesapeake, near Pointdexter Street, motorists can expect potential delays due to an incident. The south center lane, right lane, and right shoulder are closed.","Major Incident - Traffic - Other Traffic"
"06/20/2025, 12:21 PM ET","Carroll (County)","I-77S",1.2,"On I-77 at mile marker 1.2 in the County of Carroll, motorists can expect delays due to a vehicle crash. All south lanes are closed. Traffic backups are approximately 2.0 miles.","Major Incident - Traffic - Vehicle Crash"
"06/20/2025, 10:56 AM ET","Fauquier (County)","Rt. 656N (Fauquier County)",1.8,"On Rt. 656 in the County of Fauquier, in the vicinity of Lucky Hill Rd; Rt. 655E/W (Fauquier County), motorists can expect delays due to a disabled tractor trailer. All north lanes are closed. All south lanes are closed.","Major Incident - Traffic - Disabled Tractor Trailer"
"06/20/2025, 11:47 AM ET","Fairfax (County)","Rt. 3679N (Fairfax County)",0.6,"On Rt. 3679 North in the County of Fairfax, in the vicinity of Camelot Dr; Rt. 4474E/W (Fairfax County), motorists can expect delays due to an incident.","Minor Incident - Traffic - Other Traffic"
"06/20/2025, 11:59 AM ET","Fairfax (County)","I-495N",56.5,"On I-495 at mile marker 56.5 in the County of Fairfax, motorists can expect delays due to a disabled vehicle. The north right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"06/20/2025, 12:19 PM ET","York (County)","I-64E",237.3,"On I-64 at mile marker 237.3 in the County of York, near Camp Peary, motorists can expect delays due to a disabled vehicle. The east right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"06/20/2025, 12:02 PM ET","Spotsylvania (County)","I-95N",123.4,"On I-95 at mile marker 123.4 in the County of Spotsylvania, motorists can expect delays due to a disabled vehicle. The north right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"06/20/2025, 11:37 AM ET","Richmond (City)","I-95N",75.5,"On I-95 at mile marker 75.5 in the City of Richmond, motorists can expect delays due to a disabled vehicle. The north right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"06/20/2025, 12:07 PM ET","Hampton (City)","I-64E",270,"On I-64 East in the City of Hampton, at Hampton Roads Bridge Tunnel East, motorists can expect delays due to congestion. Traffic backups are approximately 1.5 miles.","Major Incident - Traffic - Congestion/Delay"
"06/20/2025, 10:27 AM ET","Norfolk (City)","I-64W",272.4,"On I-64 West in the City of Norfolk, at Hampton Roads Bridge Tunnel West, motorists can expect delays due to congestion. Traffic backups are approximately 5.0 miles.","Major Incident - Traffic - Congestion/Delay"
"06/20/2025, 09:48 AM ET","Fairfax (County)","Rt. 2804E (Fairfax County)",0.6,"On Rt. 2804 East in the County of Fairfax, in the vicinity of Valley Wood Rd; Vermont Ave; Rt. 691N/S (Fairfax County), motorists can expect delays due to an incident. Lane closures exist.","Minor Incident - Traffic - Other Traffic"
