Update Time,Jurisdiction,Route,MRM,Description,Label
"05/08/2025 06:06 PM ET","Hanover (County)","I-95N",99.8,"On I-95 at mile marker 99.8 in the County of Hanover, motorists can expect delays due to a disabled tractor trailer. The north right shoulder is closed.","Minor Incident - Traffic - Disabled Tractor Trailer"
"05/08/2025 05:36 PM ET","Roanoke (County)","I-81N",145.9,"On I-81 North at mile marker 145.9 in the County of Roanoke, motorists can expect delays due to congestion. Traffic backups are approximately 2.5 miles.","Major Incident - Traffic - Congestion/Delay"
"05/08/2025 05:49 PM ET","Fairfax (County)","I-395N",0.5,"On I-395 at mile marker 0.5 in the County of Fairfax, motorists can expect delays due to a tractor trailer crash. The north right shoulder is closed.","Minor Incident - Traffic - Tractor Trailer Crash"
"05/08/2025 05:54 PM ET","Prince William (County)","I-95N",150.4,"On I-95 at mile marker 150.4 in the County of Prince William, motorists can expect delays due to a disabled vehicle. The north right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"05/08/2025 06:02 PM ET","Hampton (City)","I-64E",264.6,"On I-64 at mile marker 264.6 in the City of Hampton, near Interstate 664 Interchange, motorists can expect delays due to a vehicle crash. The east right shoulder is closed.","Minor Incident - Traffic - Vehicle Crash"
"05/08/2025 06:06 PM ET","Newport News (City)","I-64W",257.7,"On I-64 at mile marker 257.7 in the City of Newport News, near Victory Boulevard, motorists can expect delays due to a disabled vehicle. The west right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"05/08/2025 05:59 PM ET","Campbell (County)","Rt. 622E (Campbell County)",1.4,"On Rt. 622 East in the County of Campbell, in the vicinity of Timberlake Rd; BUS US-460E, BUS US-460E (11 Lynchburg/Amherst/Campbell), motorists can expect delays due to a vehicle crash. Lane closures exist.","Minor Incident - Traffic - Vehicle Crash"
"05/08/2025 06:09 PM ET","Stafford (County)","Rt. 1161N (Stafford County)",0.8,"On Rt. 1161 in the County of Stafford, in the vicinity of Clint Ln; Sierra Dr; Town And Country Dr; Rt. 1620E/W (Stafford County), near Ferry Road, motorists can expect delays due to a vehicle crash. All north lanes are closed. All south lanes are closed.","Major Incident - Traffic - Vehicle Crash"
"05/08/2025 06:09 PM ET","Fairfax (County)","I-66W",50.7,"On I-66 at mile marker 50.7 in the County of Fairfax, motorists can expect delays due to a disabled vehicle. The west left lane is closed. Traffic backups are approximately 3.0 miles.","Major Incident - Traffic - Disabled Vehicle"
"05/08/2025 06:10 PM ET","Norfolk (City)","I-64W",272.4,"On I-64 West in the City of Norfolk, at Hampton Roads Bridge Tunnel West, motorists can expect delays due to congestion. Traffic backups are approximately 2.5 miles.","Major Incident - Traffic - Congestion/Delay"
"05/08/2025 05:50 PM ET","Fairfax (County)","I-495N",48,"On I-495 at mile marker 48 in the County of Fairfax, motorists can expect delays due to a disabled vehicle. The north right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"05/08/2025 05:18 PM ET","Montgomery (County)","I-81N",106.7,"On I-81 at mile marker 106.7 in the County of Montgomery, motorists can expect delays due to a vehicle crash. The north right shoulder is closed.","Minor Incident - Traffic - Vehicle Crash"
"05/08/2025 02:17 PM ET","Fairfax (County)","On I-495N Express Lanes at mile marker 44.5","","On I-495N Express Lanes at mile marker 44.5 in the County of Fairfax, motorists can expect major delays due to congestion. Traffic backups are approximately 1.0 mile.","Minor Incident - Traffic - Congestion/Delay"
"05/08/2025 05:31 PM ET","Suffolk (City)","I-664N",8.9,"On I-664 North in the City of Suffolk, at Monitor Merrimac Memorial Bridge Tunnel North, motorists can expect delays due to congestion. Traffic backups are approximately 2.5 miles.","Major Incident - Traffic - Congestion/Delay"
"05/08/2025 06:03 PM ET","Fairfax (County)","On I-495S Express Lanes at mile marker 52.8","","On I-495S Express Lanes at mile marker 52.8 in the County of Fairfax, motorists can expect potential delays due to a disabled vehicle. The south left shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"05/08/2025 06:11 PM ET","Fairfax (County)","I-95S",170,"On I-95 at mile marker 170 in the County of Fairfax, motorists can expect delays due to a disabled vehicle. The south right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"05/08/2025 06:10 PM ET","Fredericksburg (City)","I-95S",131.3,"On I-95 at mile marker 131.3 in the City of Fredericksburg, motorists can expect delays due to a disabled tractor trailer. The south right shoulder is closed.","Minor Incident - Traffic - Disabled Tractor Trailer"
"05/08/2025 06:12 PM ET","Hanover (County)","I-95N",99.9,"On I-95 at mile marker 99.9 in the County of Hanover, motorists can expect delays due to a disabled vehicle. The north right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"05/08/2025 06:02 PM ET","Fairfax (County)","I-66E",66.4,"On I-66 at mile marker 66.4 in the County of Fairfax, motorists can expect delays due to a multi-vehicle crash. The east right shoulder is closed.","Minor Incident - Traffic - Multi-Vehicle Crash"
"05/08/2025 06:09 PM ET","Fredericksburg (City)","I-95S",130,"On I-95 at mile marker 130 in the City of Fredericksburg, motorists can expect delays due to a disabled vehicle. The south right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"05/08/2025 05:56 PM ET","Hampton (City)","I-64E",270,"On I-64 East in the City of Hampton, at Hampton Roads Bridge Tunnel East, motorists can expect delays due to congestion. Traffic backups are approximately 2.0 miles.","Major Incident - Traffic - Congestion/Delay"
"05/08/2025 06:01 PM ET","Fairfax (County)","Rt. 649N (Fairfax County)",1,"On Rt. 649 North in the County of Fairfax, in the vicinity of Gallows Rd; Rt. 650N/S (Fairfax County), motorists can expect delays due to standing water. Lane closures exist.","Minor Incident - Standing Water - Advisory"
"05/08/2025 05:25 PM ET","Prince William (County)","On I-66W Express Lanes at mile marker 48.8","","On I-66W Express Lanes at mile marker 48.8 in the County of Prince William, motorists can expect potential delays due to a disabled vehicle. The west left shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"05/08/2025 03:20 PM ET","Newport News (City)","I-664S",7.8,"On I-664 South in the City of Newport News, at Monitor Merrimac Memorial Bridge Tunnel South, motorists can expect delays due to congestion. Traffic backups are approximately 2.0 miles.","Major Incident - Traffic - Congestion/Delay"
"05/08/2025 05:51 PM ET","Stafford (County)","On I-95R Express Lanes at mile marker 144.8","","On I-95R Express Lanes at mile marker 144.8 in the County of Stafford, motorists can expect potential delays due to a vehicle crash. The south right shoulder is closed.","Minor Incident - Traffic - Vehicle Crash"
"05/08/2025 05:24 PM ET","Fairfax (County)","Rt. 641E (Fairfax County)",2.3,"On Rt. 641 in the County of Fairfax, in the vicinity of Yates Ford Rd; Rt. 615E/W (Fairfax County), near Horseshoe Trail, motorists can expect delays due to a vehicle crash. All east lanes are closed. All west lanes are closed.","Major Incident - Traffic - Vehicle Crash"
"05/08/2025 05:48 PM ET","New Kent (County)","Rt. 1240N (New Kent County)",0.2,"On Rt. 1240 in the County of New Kent, in the vicinity of Horseshoe Dr; Rt. 1242N/S (New Kent County), motorists can expect delays due to a vehicle crash. All north lanes are closed. All south lanes are closed.","Major Incident - Traffic - Vehicle Crash"
