Update Time,Jurisdiction,Route,MRM,Description,Label
"11/21/2025, 10:08 AM ET","Richmond (City)","I-95S",79.9,"On I-95 at mile marker 79.9 in the City of Richmond, motorists can expect delays due to a disabled vehicle. The south right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/21/2025, 09:52 AM ET","Augusta (County)","VA-285S",0.1,"On VA-285 in the County of Augusta, in the vicinity of I-64E Ramp 91A; VA-285U Ramp 0A, motorists can expect delays due to a vehicle crash. The south right lane and right shoulder are closed.","Major Incident - Traffic - Vehicle Crash"
"11/21/2025, 10:16 AM ET","Prince William (County)","I-95S",152.9,"On I-95 at mile marker 152.9 in the County of Prince William, motorists can expect delays due to a disabled vehicle. The south right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/21/2025, 09:58 AM ET","Fairfax (County)","Rt. 608N (Fairfax County)",3.3,"On Rt. 608 North in the County of Fairfax, in the vicinity of Falkirk Dr; Ox Trl; Rt. 10608E/W (Fairfax County); Rt. 6985E/W (Fairfax County), motorists can expect delays due to an incident.","Minor Incident - Traffic - Other Traffic"
"11/21/2025, 08:37 AM ET","Stafford (County)","Rt. 608S (Stafford County)",1.5,"On Rt. 608 South in the County of Stafford, in the vicinity of Deacon Rd; Rt. 607E/W (Stafford County), motorists can expect delays due to an incident.","Minor Incident - Traffic - Other Traffic"
"11/21/2025, 09:50 AM ET","Rockingham (County)","US-33W",18.6,"On US-33 in the County of Rockingham, in the vicinity of Silver Lake Rd; Rt. 701N/S (Rockingham County);SILVER LAKE RD., motorists can expect delays due to a vehicle crash. All west lanes are alternating closures.","Major Incident - Traffic - Vehicle Crash"
"11/21/2025, 10:05 AM ET","Fairfax (County)","VA-28N",31.6,"On VA-28 in the County of Fairfax, in the vicinity of Walney Rd; Rt. 620E/W (Fairfax County); Rt. 657N/S (Fairfax County), motorists can expect delays due to a disabled vehicle. The north right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/21/2025, 08:57 AM ET","Fairfax (County)","On I-66E Express Lanes at mile marker 58","","On I-66E Express Lanes at mile marker 58 in the County of Fairfax, motorists can expect potential delays due to a disabled vehicle. The east left shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/21/2025, 10:10 AM ET","Norfolk (City)","I-64W",272.4,"On I-64 West in the City of Norfolk, at Hampton Roads Bridge Tunnel West, motorists can expect delays due to congestion. Traffic backups are approximately 2.5 miles.","Major Incident - Traffic - Congestion/Delay"
"11/21/2025, 10:07 AM ET","Norfolk (City)","I-264E",8.4,"On I-264 at mile marker 8.4 in the City of Norfolk, near Tidewater Drive, motorists can expect delays due to a disabled vehicle. The east right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/21/2025, 09:57 AM ET","Arlington (County)","I-395S",7.4,"On I-395 at mile marker 7.4 in the County of Arlington, motorists can expect delays due to a disabled vehicle. The south right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/21/2025, 10:09 AM ET","Montgomery (County)","I-81N",106.8,"On I-81 at mile marker 106.8 in the County of Montgomery, motorists can expect delays due to a disabled vehicle. The north right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/21/2025, 09:13 AM ET","Fairfax (County)","On I-495N Express Lanes at mile marker 49.8","","On I-495N Express Lanes at mile marker 49.8 in the County of Fairfax, motorists can expect potential delays due to a disabled vehicle. The north left shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/21/2025, 10:16 AM ET","Fairfax (County)","I-95S",165.6,"On I-95 at mile marker 165.6 in the County of Fairfax, motorists can expect delays due to a disabled vehicle. The south right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/21/2025, 10:06 AM ET","Fairfax (County)","I-66E",53.6,"On I-66 at mile marker 53.6 in the County of Fairfax, motorists can expect delays due to a disabled vehicle. The east right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/21/2025, 10:17 AM ET","Spotsylvania (County)","I-95S",130.2,"On I-95 at mile marker 130.2 in the County of Spotsylvania, motorists can expect delays due to a disabled vehicle. The south right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/21/2025, 10:14 AM ET","Virginia Beach (City)","I-264E",22.9,"On I-264 at mile marker 22.9 in the City of Virginia Beach, near First Colonial Road, motorists can expect delays due to a disabled vehicle. The east right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/21/2025, 09:24 AM ET","Goochland (County)","I-64W",159,"On I-64 at mile marker 159 in the County of Goochland, motorists can expect delays due to a vehicle crash. The west left shoulder and left lane are closed.","Major Incident - Traffic - Vehicle Crash"
"11/21/2025, 09:56 AM ET","Loudoun (County)","Rt. 1582S (Loudoun County)",3.4,"On Rt. 1582 South in the County of Loudoun, in the vicinity of Sky La; Winterwood Wy, motorists can expect delays due to an incident.","Minor Incident - Traffic - Other Traffic"
