Update Time,Jurisdiction,Route,MRM,Description,Label
"11/30/2025, 09:04 AM ET","Rockbridge (County)","I-81N",178,"On I-81 at mile marker 178 in the County of Rockbridge, motorists can expect delays due to a tractor trailer crash. The north right lane and right shoulder are closed.","Major Incident - Traffic - Tractor Trailer Crash"
"11/30/2025, 08:56 AM ET","Chesterfield (County)","I-95S",55.5,"On I-95 at mile marker 55.5 in the County of Chesterfield, motorists can expect delays due to a disabled vehicle. The south right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/30/2025, 09:15 AM ET","Dinwiddie (County)","I-85N",60.4,"On I-85 at mile marker 60.4 in the County of Dinwiddie, motorists can expect delays due to a vehicle crash. All north lanes are closed.","Major Incident - Traffic - Vehicle Crash"
"11/30/2025, 09:06 AM ET","Rockbridge (County)","I-81N",194.7,"On I-81 at mile marker 194.7 in the County of Rockbridge, motorists can expect delays due to a disabled vehicle. The north right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/30/2025, 09:06 AM ET","Carroll (County)","I-77N",6.7,"On I-77 at mile marker 6.7 in the County of Carroll, motorists can expect delays due to a disabled vehicle. The north left shoulder is closed. The south left shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/30/2025, 09:00 AM ET","Dinwiddie (County)","I-85N",53.2,"On I-85 at mile marker 53.2 in the County of Dinwiddie, motorists can expect delays due to an incident. All north lanes are closed.","Major Incident - Traffic - Other Traffic"
"11/30/2025, 09:15 AM ET","Henrico (County)","I-295S",26.9,"On I-295 at mile marker 26.9 in the County of Henrico, motorists can expect delays due to a disabled vehicle. The south right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/30/2025, 09:16 AM ET","Carroll (County)","I-77N",8.2,"On I-77 North at mile marker 8.2 in the County of Carroll, motorists can expect delays due to a tractor trailer crash. Traffic backups are approximately 9.0 miles.","Major Incident - Traffic - Tractor Trailer Crash"
"11/30/2025, 09:09 AM ET","Norfolk (City)","I-64W",281.2,"On I-64 at mile marker 281.2 in the City of Norfolk, near Military Highway, motorists can expect delays due to a disabled vehicle. The west right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/30/2025, 08:49 AM ET","Prince William (County)","I-95S",161.9,"On I-95 at mile marker 161.9 in the County of Prince William, motorists can expect delays due to a multi-vehicle crash. The south left shoulder is closed.","Minor Incident - Traffic - Multi-Vehicle Crash"
"11/30/2025, 09:15 AM ET","Roanoke (County)","I-81N",131,"On I-81 at mile marker 131 in the County of Roanoke, motorists can expect delays due to a disabled vehicle. The north right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
