Update Time,Jurisdiction,Route,MRM,Description,Label
"07/01/2025, 11:53 PM ET","Hanover (County)","Rt. 615N (Hanover County)",1.9,"On Rt. 615 North in the County of Hanover, in the vicinity of Sandy Valley Rd; Rt. 635E/W (Hanover County), motorists can expect delays due to standing water.","Minor Incident - Standing Water - Advisory"
"07/02/2025, 12:04 AM ET","Chesterfield (County)","VA-145E",4.9,"On VA-145 East in the County of Chesterfield, in the vicinity of Dorsey Rd; Kingsland Rd; Rt. 611E/W (Chesterfield County), motorists can expect delays due to standing water.","Minor Incident - Standing Water - Advisory"
"07/02/2025, 02:25 AM ET","Prince William (County)","I-66E",39.6,"On I-66 at mile marker 39.6 in the County of Prince William, motorists can expect delays due to a disabled vehicle. The east right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"07/02/2025, 02:15 AM ET","Northampton (County)","US-13S",55.7,"On US-13 in the County of Northampton, at Chesapeake Bay Bridge Tunnel South, motorists can expect delays due to a vehicle crash. The south left shoulder and left lane are closed.","Major Incident - Traffic - Vehicle Crash"
"07/02/2025, 02:28 AM ET","Norfolk (City)","I-64E",282.2,"On I-64 at mile marker 282.2 in the City of Norfolk, near Northampton Boulevard, motorists can expect delays due to a disabled vehicle. The east entrance ramp narrows.","Minor Incident - Traffic - Disabled Vehicle"
"07/02/2025, 02:22 AM ET","Fairfax (County)","I-495N",46,"On I-495 at mile marker 46 in the County of Fairfax, motorists can expect delays due to a disabled tractor trailer. The north right shoulder is closed.","Minor Incident - Traffic - Disabled Tractor Trailer"
"07/02/2025, 12:05 AM ET","Chesterfield (County)","Rt. 898W (Chesterfield County)",0.5,"On Rt. 898 West in the County of Chesterfield, in the vicinity of Ramblewood Dr; Rt. 617N/S (Chesterfield County), motorists can expect delays due to standing water.","Minor Incident - Standing Water - Advisory"
"07/02/2025, 02:08 AM ET","Virginia Beach (City)","I-264E",17.9,"On I-264 at mile marker 17.9 in the City of Virginia Beach, near Old Toll Road, motorists can expect delays due to a disabled vehicle. The east right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"07/02/2025, 02:20 AM ET","Fairfax (County)","I-95N",174.6,"On I-95 at mile marker 174.6 in the County of Fairfax, motorists can expect delays due to an incident. The north center lane is closed.","Major Incident - Traffic - Other Traffic"
"07/02/2025, 02:13 AM ET","Spotsylvania (County)","I-95N",124.5,"On I-95 at mile marker 124.5 in the County of Spotsylvania, motorists can expect delays due to a disabled vehicle. The north right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
