Update Time,Jurisdiction,Route,MRM,Description,Label
"08/13/2025, 03:57 PM ET","Hampton (City)","I-64E",270,"On I-64 East in the City of Hampton, at Hampton Roads Bridge Tunnel East, motorists can expect delays due to congestion. Traffic backups are approximately 4.0 miles.","Major Incident - Traffic - Congestion/Delay"
"08/13/2025, 03:48 PM ET","Stafford (County)","On I-95R Express Lanes at mile marker 146.8","","On I-95R Express Lanes at mile marker 146.8 in the County of Stafford, motorists can expect potential delays due to a vehicle crash. The south left shoulder is closed.","Minor Incident - Traffic - Vehicle Crash"
"08/13/2025, 02:46 PM ET","Newport News (City)","I-664S",7.8,"On I-664 South in the City of Newport News, at Monitor Merrimac Memorial Bridge Tunnel South, motorists can expect delays due to congestion. Traffic backups are approximately 1.5 miles.","Major Incident - Traffic - Congestion/Delay"
"08/13/2025, 04:18 PM ET","Chesterfield (County)","I-95N",67,"On I-95 at mile marker 67 in the County of Chesterfield, motorists can expect delays due to a disabled vehicle. The north right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"08/13/2025, 03:35 PM ET","Caroline (County)","Rt. 717N (Caroline County)",0.1,"On Rt. 717 North in the County of Caroline, in the vicinity of Cecil Rd; Dead End, motorists can expect delays due to weather. Lane closures exist.","Weather Incident - Other Weather - Advisory"
"08/13/2025, 04:20 PM ET","Patrick (County)","BUS US-58E (12 Patrick/Stuart)",1.5,"On BUS US-58 East in the County of Patrick, in the vicinity of Via Ave; Rt. 1008E/W (Patrick County), motorists can expect delays due to weather. Lane closures exist.","Weather Incident - Other Weather - Advisory"
"08/13/2025, 04:14 PM ET","Patrick (County)","Rt. 773W (Patrick County)",3.5,"On Rt. 773 in the County of Patrick, in the vicinity of Holly Tree Rd; Rt. 802E/W (Patrick County), motorists can expect delays due to a disabled vehicle. All west lanes are closed.","Major Incident - Traffic - Disabled Vehicle"
"08/13/2025, 03:39 PM ET","Norfolk (City)","I-264W",7,"On I-264 West in the City of Norfolk, at Downtown Tunnel West, motorists can expect major delays due to congestion. Traffic backups are approximately 1.0 mile.","Minor Incident - Traffic - Congestion/Delay"
"08/13/2025, 03:54 PM ET","Loudoun (County)","Rt. 690S (Loudoun County)",14.4,"On Rt. 690 in the County of Loudoun, in the vicinity of Morrisonville Rd; Rt. 693E/W (Loudoun County), motorists can expect delays due to a multi-vehicle crash. All north lanes are closed. All south lanes are closed.","Major Incident - Traffic - Multi-Vehicle Crash"
"08/13/2025, 04:06 PM ET","Fauquier (County)","I-66E",32,"On I-66 at mile marker 32 in the County of Fauquier, motorists can expect delays due to a vehicle crash. The east right lane and right shoulder are closed.","Major Incident - Traffic - Vehicle Crash"
"08/13/2025, 02:38 PM ET","Fairfax (County)","On I-495N Express Lanes at mile marker 44.9","","On I-495N Express Lanes at mile marker 44.9 in the County of Fairfax, motorists can expect potential delays due to congestion.","Minor Incident - Traffic - Congestion/Delay"
