Update Time,Jurisdiction,Route,MRM,Description,Label
"10/28/2025, 04:17 PM ET","Prince William (County)","I-95S",161,"On I-95 at mile marker 161 in the County of Prince William, motorists can expect delays due to a vehicle crash. The south left shoulder is closed.","Minor Incident - Traffic - Vehicle Crash"
"10/28/2025, 03:49 PM ET","Fairfax (County)","Rt. 649N (Fairfax County)",2.4,"On Rt. 649 North in the County of Fairfax, in the vicinity of Blundell Rd; Slade Run Dr; Rt. 2304N/S (Fairfax County), motorists can expect delays due to an incident.","Minor Incident - Traffic - Other Traffic"
"10/28/2025, 10:54 AM ET","Virginia Beach (City)","US-13N",55.7,"On US-13 North in the City of Virginia Beach, at Chesapeake Bay Bridge Tunnel North, motorists can expect delays due to high wind.","Weather Incident - High Wind - Advisory"
"10/28/2025, 04:12 PM ET","Lee (County)","Rt. 642E (Lee County)",5.5,"On Rt. 642 East in the County of Lee, in the vicinity of Freeman Hollow Rd; Rt. 798N/S (Lee County), motorists can expect delays due to a vehicle crash. Lane closures exist.","Minor Incident - Traffic - Vehicle Crash"
"10/28/2025, 04:19 PM ET","Prince William (County)","I-66E",42.2,"On I-66 at mile marker 42.2 in the County of Prince William, motorists can expect delays due to a vehicle crash. The east right shoulder is closed.","Minor Incident - Traffic - Vehicle Crash"
"10/28/2025, 04:18 PM ET","Warren (County)","I-66W",8.2,"On I-66 at mile marker 8.2 in the County of Warren, motorists can expect delays due to a disabled vehicle. The west right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"10/28/2025, 04:10 PM ET","Norfolk (City)","I-64E",283.9,"On I-64 at mile marker 283.9 in the City of Norfolk, near 264 Interchange, motorists can expect delays due to a vehicle crash. The east left shoulder and left lane are closed. Traffic backups are approximately 2.0 miles.","Major Incident - Traffic - Vehicle Crash"
"10/28/2025, 04:20 PM ET","Fairfax (County)","I-66W",52.2,"On I-66 at mile marker 52.2 in the County of Fairfax, motorists can expect delays due to a vehicle crash. The west right shoulder is closed.","Minor Incident - Traffic - Vehicle Crash"
"10/28/2025, 03:43 PM ET","Fairfax (County)","I-395S",1.8,"On I-395 at mile marker 1.8 in the County of Fairfax, motorists can expect delays due to a disabled vehicle. The south right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"10/28/2025, 02:27 PM ET","Carroll (County)","I-77N",0,"On I-77 North at mile marker 0 in the County of Carroll, motorists can expect delays due to high wind.","Weather Incident - High Wind - Advisory"
"10/28/2025, 03:18 PM ET","Franklin (County)","Rt. 839N (Franklin County)",0.2,"On Rt. 839 North in the County of Franklin, in the vicinity of Brooks Mill Rd; Rt. 834N/S (Franklin County), motorists can expect delays due to weather. Lane closures exist.","Weather Incident - Other Weather - Advisory"
"10/28/2025, 03:41 PM ET","Isle Of Wight (County)","BUS VA-10N",1.6,"On BUS VA-10 in the County of Isle Of Wight, in the vicinity of Red Point Dr, motorists can expect delays due to standing water. All north lanes are closed. All south lanes are closed.","Weather Incident - Standing Water - Closed"
"10/28/2025, 04:17 PM ET","Montgomery (County)","I-81S",114,"On I-81 at mile marker 114 in the County of Montgomery, motorists can expect delays due to a vehicle crash. The south right shoulder is closed.","Minor Incident - Traffic - Vehicle Crash"
"10/28/2025, 03:00 PM ET","Loudoun (County)","Rt. 614E (Loudoun County)",0,"On Rt. 614 East in the County of Loudoun, in the vicinity of Old Ox Rd; Rt. 606E (Loudoun County), motorists can expect delays due to an incident.","Minor Incident - Traffic - Other Traffic"
"10/28/2025, 10:56 AM ET","Northampton (County)","US-13S",55.7,"On US-13 South in the County of Northampton, at Chesapeake Bay Bridge Tunnel South, motorists can expect delays due to high wind.","Weather Incident - High Wind - Advisory"
"10/28/2025, 04:16 PM ET","Spotsylvania (County)","I-95S",121.6,"On I-95 at mile marker 121.6 in the County of Spotsylvania, motorists can expect delays due to a disabled tractor trailer. The south right shoulder is closed.","Minor Incident - Traffic - Disabled Tractor Trailer"
"10/28/2025, 04:21 PM ET","Newport News (City)","I-64W",258.8,"On I-64 at mile marker 258.8 in the City of Newport News, near J Clyde Morris Boulevard, motorists can expect delays due to a vehicle crash. The west entrance ramp narrows.","Minor Incident - Traffic - Vehicle Crash"
"10/28/2025, 04:18 PM ET","Fairfax (County)","I-66E",61.8,"On I-66 at mile marker 61.8 in the County of Fairfax, motorists can expect delays due to a disabled vehicle. The east right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"10/28/2025, 02:10 PM ET","Chesterfield (County)","Rt. 650N (Chesterfield County)",0.7,"On Rt. 650 North in the County of Chesterfield, in the vicinity of Stevens Hollow Dr; Rt. 3050E/W (Chesterfield County), motorists can expect delays due to standing water.","Weather Incident - Standing Water - Advisory"
"10/28/2025, 02:27 PM ET","Carroll (County)","I-77S",24.1,"On I-77 South at mile marker 24.1 in the County of Carroll, motorists can expect delays due to high wind.","Weather Incident - High Wind - Advisory"
"10/28/2025, 04:17 PM ET","Norfolk (City)","I-64W",272.4,"On I-64 West in the City of Norfolk, at Hampton Roads Bridge Tunnel West, motorists can expect delays due to congestion. Traffic backups are approximately 4.5 miles.","Major Incident - Traffic - Congestion/Delay"
