Update Time,Jurisdiction,Route,MRM,Description,Label
"11/26/2025, 03:11 PM ET","Hampton (City)","I-64E",270,"On I-64 East in the City of Hampton, at Hampton Roads Bridge Tunnel East, motorists can expect delays due to congestion. Traffic backups are approximately 3.0 miles.","Major Incident - Traffic - Congestion/Delay"
"11/26/2025, 04:05 PM ET","Spotsylvania (County)","I-95N",126,"On I-95 at mile marker 126 in the County of Spotsylvania, motorists can expect delays due to a disabled vehicle. The north right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/26/2025, 03:55 PM ET","Prince William (County)","I-95S",162.1,"On I-95 at mile marker 162.1 in the County of Prince William, motorists can expect delays due to a disabled vehicle. The south right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/26/2025, 04:04 PM ET","Henrico (County)","I-95S",84,"On I-95 at mile marker 84 in the County of Henrico, motorists can expect delays due to a vehicle crash. The south exit ramp narrows.","Minor Incident - Traffic - Vehicle Crash"
"11/26/2025, 03:31 PM ET","Fairfax (County)","On I-495N Express Lanes at mile marker 42.8","","On I-495N Express Lanes at mile marker 42.8 in the County of Fairfax, motorists can expect major delays due to congestion. Traffic backups are approximately 1.0 mile.","Minor Incident - Traffic - Congestion/Delay"
"11/26/2025, 04:04 PM ET","Carroll (County)","I-77S",24.1,"On I-77 South at mile marker 24.1 in the County of Carroll, motorists can expect delays due to high wind.","Weather Incident - High Wind - Advisory"
"11/26/2025, 04:11 PM ET","Prince William (County)","I-95N",158.1,"On I-95 at mile marker 158.1 in the County of Prince William, motorists can expect delays due to a disabled vehicle. The north left shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/26/2025, 04:10 PM ET","Fairfax (County)","I-495N",47.3,"On I-495 at mile marker 47.3 in the County of Fairfax, motorists can expect delays due to a multi-vehicle crash. The north exit 47 narrows.","Minor Incident - Traffic - Multi-Vehicle Crash"
"11/26/2025, 04:14 PM ET","Augusta (County)","I-81S",235.7,"On I-81 at mile marker 235.7 in the County of Augusta, motorists can expect delays due to a vehicle crash. The south right shoulder is closed.","Minor Incident - Traffic - Vehicle Crash"
"11/26/2025, 03:54 PM ET","Prince William (County)","I-95N",152.4,"On I-95 at mile marker 152.4 in the County of Prince William, motorists can expect delays due to a disabled vehicle. The north right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/26/2025, 04:13 PM ET","Frederick (County)","I-81S",302.1,"On I-81 at mile marker 302.1 in the County of Frederick, motorists can expect delays due to a disabled vehicle. The south right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/26/2025, 04:09 PM ET","Newport News (City)","I-664S",7.8,"On I-664 South in the City of Newport News, at Monitor Merrimac Memorial Bridge Tunnel South, motorists can expect delays due to congestion. Traffic backups are approximately 1.5 miles.","Major Incident - Traffic - Congestion/Delay"
"11/26/2025, 03:57 PM ET","Chesterfield (County)","VA-150S",8.6,"On VA-150 South in the County of Chesterfield, in the vicinity of the ramp to I-95, motorists can expect delays due to a vehicle crash.","Minor Incident - Traffic - Vehicle Crash"
"11/26/2025, 04:14 PM ET","Prince William (County)","I-66W",45.6,"On I-66 at mile marker 45.6 in the County of Prince William, motorists can expect delays due to a disabled tractor trailer. The west right shoulder is closed.","Minor Incident - Traffic - Disabled Tractor Trailer"
"11/26/2025, 03:46 PM ET","Fairfax (County)","I-95S",168.1,"On I-95 at mile marker 168.1 in the County of Fairfax, motorists can expect delays due to a disabled vehicle. The south right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/26/2025, 04:07 PM ET","Carroll (County)","I-77S",12.9,"On I-77 at mile marker 12.9 in the County of Carroll, motorists can expect delays due to a disabled vehicle. The south right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/26/2025, 03:54 PM ET","Fairfax (County)","I-95N",169.2,"On I-95 at mile marker 169.2 in the County of Fairfax, motorists can expect delays due to a disabled vehicle. The north right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/26/2025, 03:14 PM ET","Nottoway (County)","Rt. 614N (Nottoway County)",5.2,"On Rt. 614 North in the County of Nottoway, in the vicinity of Bible Rd; Cellar Creek Rd; Cottage Rd; Deep Creek Rd; Rt. 607N/S (Nottoway County), motorists can expect delays due to weather.","Weather Incident - Other Weather - Advisory"
"11/26/2025, 04:04 PM ET","Carroll (County)","I-77N",0,"On I-77 North at mile marker 0 in the County of Carroll, motorists can expect delays due to high wind.","Weather Incident - High Wind - Advisory"
"11/26/2025, 03:53 PM ET","King George (County)","VA-3E",55.4,"On VA-3 East in the County of King George, in the vicinity of Canterbury Loop; Rt. 679E/W (King George County), motorists can expect delays due to a vehicle crash.","Minor Incident - Traffic - Vehicle Crash"
"11/26/2025, 04:12 PM ET","Fairfax (County)","Rt. 8296N (Fairfax County)",0.1,"On Rt. 8296 North in the County of Fairfax, in the vicinity of Oakton Hills Ct; Rt. 8297E/W (Fairfax County), motorists can expect delays due to an incident.","Minor Incident - Traffic - Other Traffic"
"11/26/2025, 04:14 PM ET","Prince William (County)","I-95S",158.2,"On I-95 at mile marker 158.2 in the County of Prince William, motorists can expect delays due to a multi-vehicle crash. The south left shoulder, left lane, and center lane are closed.","Major Incident - Traffic - Multi-Vehicle Crash"
"11/26/2025, 03:36 PM ET","Augusta (County)","I-81S",234,"On I-81 at mile marker 234 in the County of Augusta, motorists can expect delays due to a multi-vehicle crash. The south right shoulder is closed.","Minor Incident - Traffic - Multi-Vehicle Crash"
"11/26/2025, 03:51 PM ET","Alexandria (City)","I-395S",5.7,"On I-395 at mile marker 5.7 in the City of Alexandria, motorists can expect delays due to a vehicle fire. The south right shoulder is closed.","Minor Incident - Traffic - Vehicle Fire"
"11/26/2025, 03:55 PM ET","Petersburg (City)","I-85S",66.8,"On I-85 at mile marker 66.8 in the City of Petersburg, motorists can expect delays due to a vehicle crash. The south right shoulder is closed.","Minor Incident - Traffic - Vehicle Crash"
"11/26/2025, 03:52 PM ET","Fairfax (County)","On I-495N Express Lanes at mile marker 43.1","","On I-495N Express Lanes at mile marker 43.1 in the County of Fairfax, motorists can expect potential delays due to a vehicle crash. The north left shoulder is closed.","Minor Incident - Traffic - Vehicle Crash"
"11/26/2025, 02:27 PM ET","Fairfax (City)","On I-66E Express Lanes at mile marker 51","","On I-66E Express Lanes at mile marker 51 in the City of Fairfax, motorists can expect potential delays due to a disabled vehicle. The east left shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/26/2025, 04:03 PM ET","Fairfax (County)","I-495N",43.6,"On I-495 at mile marker 43.6 in the County of Fairfax, motorists can expect delays due to a disabled vehicle. The north right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/26/2025, 03:12 PM ET","Fairfax (County)","On I-66W Express Lanes at mile marker  53.2","","On I-66W Express Lanes at mile marker 53.2 in the County of Fairfax, motorists can expect potential delays due to a vehicle crash. The west left shoulder is closed.","Minor Incident - Traffic - Vehicle Crash"
"11/26/2025, 03:56 PM ET","Norfolk (City)","I-64W",272.4,"On I-64 West in the City of Norfolk, at Hampton Roads Bridge Tunnel West, motorists can expect delays due to congestion. Traffic backups are approximately 4.5 miles.","Major Incident - Traffic - Congestion/Delay"
"11/26/2025, 04:12 PM ET","Fairfax (County)","I-495N",44.6,"On I-495 at mile marker 44.6 in the County of Fairfax, motorists can expect delays due to a disabled vehicle. The north right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/26/2025, 04:11 PM ET","Chesapeake (City)","I-64E",295.7,"On I-64 at mile marker 295.6 in the City of Chesapeake, near Shell Road, motorists can expect delays due to a disabled vehicle. The east left shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/26/2025, 04:06 PM ET","Henrico (County)","I-95S",81,"On I-95 at mile marker 81 in the County of Henrico, motorists can expect delays due to a disabled vehicle. The south right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/26/2025, 04:05 PM ET","Spotsylvania (County)","Rt. 639N (Spotsylvania County)",3.1,"On Rt. 639 North in the County of Spotsylvania, in the vicinity of Three Cedars Ln; Rt. 748E/W (Spotsylvania County), motorists can expect delays due to an incident.","Minor Incident - Traffic - Other Traffic"
"11/26/2025, 04:14 PM ET","Frederick (County)","I-81S",302,"On I-81 at mile marker 302 in the County of Frederick, motorists can expect delays due to a multi-vehicle crash. The south left shoulder is closed.","Minor Incident - Traffic - Multi-Vehicle Crash"
