Update Time,Jurisdiction,Route,MRM,Description,Label
"02/10/2025 09:51 AM ET","Prince William (County)","I-95S",149.2,"On I-95 at mile marker 149.2 in the County of Prince William, motorists can expect delays due to a disabled vehicle. The south right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"02/10/2025 09:07 AM ET","Chesapeake (City)","I-64E",289.59,"On I-64 at mile marker 289.6 in the City of Chesapeake, near Greenbrier Parkway, motorists can expect delays due to a multi-vehicle crash. The east right lane and right shoulder are closed. The east express lane is closed.","Major Incident - Traffic - Multi-Vehicle Crash"
"02/10/2025 09:53 AM ET","Carroll (County)","I-77N",0,"On I-77 North at mile marker 0 in the County of Carroll, motorists can expect delays due to high wind.","Minor Incident - High Wind - Advisory"
"02/10/2025 10:13 AM ET","Hampton (City)","I-64W",265.25,"On I-64 at mile marker 265.2 in the City of Hampton, near 664 Interchange, motorists can expect delays due to a disabled vehicle. The west exit 264 narrows.","Minor Incident - Traffic - Disabled Vehicle"
"02/10/2025 10:15 AM ET","Newport News (City)","I-64E",247.56,"On I-64 East at mile marker 247.6 in the City of Newport News, near Lee Hall, motorists can expect delays due to a disabled vehicle.","Minor Incident - Traffic - Disabled Vehicle"
"02/10/2025 10:15 AM ET","Fairfax (County)","I-66E",59.2,"On I-66 East at mile marker 59.2 in the County of Fairfax, motorists can expect delays due to a vehicle crash.","Minor Incident - Traffic - Vehicle Crash"
"02/10/2025 09:49 AM ET","Fairfax (County)","On I-66E Express Lanes at mile marker 59.6","","On I-66E Express Lanes at mile marker 59.6 in the County of Fairfax, motorists can expect potential delays due to a disabled vehicle. The east left shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"02/10/2025 09:53 AM ET","Fairfax (County)","I-495S",55.2,"On I-495 at mile marker 55.2 in the County of Fairfax, motorists can expect delays due to a disabled vehicle. The south right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"02/10/2025 09:54 AM ET","Carroll (County)","I-77S",14,"On I-77 South at mile marker 14 in the County of Carroll, motorists can expect delays due to high wind.","Minor Incident - High Wind - Advisory"
"02/10/2025 10:11 AM ET","Hanover (County)","I-95N",89.6,"On I-95 at mile marker 89.6 in the County of Hanover, motorists can expect delays due to a disabled vehicle. The north right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"02/10/2025 09:41 AM ET","Prince William (County)","I-95R",159.2,"On I-95R at mile marker 159.2 in the County of Prince William, motorists can expect potential delays due to a disabled vehicle. The north right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"02/10/2025 10:01 AM ET","Gloucester (County)","US-17N",80.14,"On US-17 North in the County of Gloucester, in the vicinity of Forest Hill Ave; George Washington Memorial Hwy; Main St, motorists can expect delays due to a vehicle crash.","Minor Incident - Traffic - Vehicle Crash"
"02/10/2025 10:05 AM ET","Prince William (County)","I-66E",48,"On I-66 at mile marker 48 in the County of Prince William, motorists can expect delays due to a disabled vehicle. The east right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"02/10/2025 10:15 AM ET","Petersburg (City)","I-85N",66.6,"On I-85 North at mile marker 66.6 in the City of Petersburg, motorists can expect delays due to a disabled vehicle.","Minor Incident - Traffic - Disabled Vehicle"
"02/10/2025 10:16 AM ET","Henrico (County)","I-95S",86.1,"On I-95 at mile marker 86.1 in the County of Henrico, motorists can expect delays due to a disabled vehicle. The south right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
