Update Time,Jurisdiction,Route,MRM,Description,Label
"05/18/2025 04:13 PM ET","Hampton (City)","I-64E",263.7,"On I-64 at mile marker 263.7 in the City of Hampton, near 664 Interchange, motorists can expect delays due to a disabled vehicle. The east entrance ramp narrows.","Minor Incident - Traffic - Disabled Vehicle"
"05/18/2025 04:08 PM ET","Louisa (County)","I-64E",136,"On I-64 at mile marker 136 in the County of Louisa, motorists can expect delays due to a disabled vehicle. The east exit 136 narrows.","Minor Incident - Traffic - Disabled Vehicle"
"05/18/2025 04:06 PM ET","Fairfax (County)","I-66E",64,"On I-66 at mile marker 64 in the County of Fairfax, motorists can expect delays due to a vehicle crash. The east exit 64A narrows.","Minor Incident - Traffic - Vehicle Crash"
"05/18/2025 04:01 PM ET","Fauquier (County)","I-66E",17.1,"On I-66 at mile marker 17.1 in the County of Fauquier, motorists can expect delays due to a disabled vehicle. The east right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"05/18/2025 04:10 PM ET","Fairfax (County)","I-495N",44.8,"On I-495 at mile marker 44.8 in the County of Fairfax, motorists can expect delays due to a disabled vehicle. The north right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"05/18/2025 03:53 PM ET","York (County)","I-64E",240.4,"On I-64 at mile marker 240.4 in the County of York, near Colonial Parkway, motorists can expect delays due to a disabled vehicle. The east right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"05/18/2025 04:14 PM ET","Hampton (City)","I-64E",270,"On I-64 East in the City of Hampton, at Hampton Roads Bridge Tunnel East, motorists can expect delays due to congestion. Traffic backups are approximately 1.0 mile.","Minor Incident - Traffic - Congestion/Delay"
"05/18/2025 03:24 AM ET","Southampton (County)","Rt. 608N (Southampton County)",1.4,"On Rt. 608 North in the County of Southampton, in the vicinity of Popes Station Rd; Rt. 609E/W (Southampton County), motorists can expect delays due to standing water.","Minor Incident - Standing Water - Advisory"
"05/18/2025 04:12 PM ET","Fairfax (County)","I-95N",163,"On I-95 at mile marker 163 in the County of Fairfax, motorists can expect delays due to a disabled tractor trailer. The north right shoulder is closed.","Minor Incident - Traffic - Disabled Tractor Trailer"
"05/18/2025 04:05 PM ET","Fairfax (County)","I-395N",0.4,"On I-395 at mile marker 0.4 in the County of Fairfax, motorists can expect delays due to a disabled vehicle. The north left shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"05/18/2025 01:28 PM ET","Fairfax (County)","On I-66E Express Lanes at mile marker 59.8","","On I-66E Express Lanes at mile marker 59.8 in the County of Fairfax, motorists can expect potential delays due to an incident. The east right lane is closed.","Major Incident - Traffic - Other Traffic"
"05/18/2025 03:21 PM ET","Fairfax (County)","On I-495N Express Lanes at mile marker 54.0","","On I-495N Express Lanes at mile marker 54.0 in the County of Fairfax, motorists can expect potential delays due to a disabled vehicle. The north left shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"05/18/2025 04:12 PM ET","New Kent (County)","I-64E",205,"On I-64 at mile marker 205 in the County of New Kent, motorists can expect delays due to a vehicle crash. The east right lane and right shoulder are closed.","Major Incident - Traffic - Vehicle Crash"
"05/18/2025 04:13 PM ET","Shenandoah (County)","I-81N",264,"On I-81 at mile marker 264 in the County of Shenandoah, motorists can expect delays due to a disabled vehicle. The north exit ramp narrows.","Minor Incident - Traffic - Disabled Vehicle"
"05/18/2025 04:09 PM ET","Fairfax (County)","I-495N",46.8,"On I-495 at mile marker 46.8 in the County of Fairfax, motorists can expect delays due to a disabled vehicle. The north right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"05/18/2025 04:14 PM ET","Norfolk (City)","I-464N",5.4,"On I-464 at mile marker 5.4 in the City of Norfolk, near Berkley Avenue, motorists can expect delays due to a disabled vehicle. The north right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"05/18/2025 04:12 PM ET","Richmond (City)","I-95N",75,"On I-95 at mile marker 75 in the City of Richmond, motorists can expect delays due to a vehicle crash. The north right shoulder is closed.","Minor Incident - Traffic - Vehicle Crash"
"05/18/2025 04:10 PM ET","Hampton (City)","I-64E",259.8,"On I-64 at mile marker 259.8 in the City of Hampton, near Big Bethel Road, motorists can expect delays due to a disabled vehicle. The east right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
