Update Time,Jurisdiction,Route,MRM,Description,Label
"04/19/2025 04:59 PM ET","Chesapeake (City)","I-664N",18.3,"On I-664 North at mile marker 18.3 in the City of Chesapeake, motorists can expect potential delays due to an incident.","Minor Incident - Traffic - Other Traffic"
"04/20/2025 01:16 AM ET","Fairfax (County)","I-66W",64.2,"On I-66 at mile marker 64.2 in the County of Fairfax, motorists can expect delays due to a disabled vehicle. The west right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"04/20/2025 12:57 AM ET","Norfolk (City)","I-564W",2.1,"On I-564 at mile marker 2.1 in the City of Norfolk, near Runway Tunnel, motorists can expect delays due to a multi-vehicle crash. The west left shoulder and left lane are closed.","Major Incident - Traffic - Multi-Vehicle Crash"
"04/20/2025 01:01 AM ET","Fairfax (County)","I-95S",176.1,"On I-95 at mile marker 176.1 in the County of Fairfax, motorists can expect delays due to a disabled vehicle. The south right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"04/20/2025 01:13 AM ET","Newport News (City)","I-664S",7.8,"On I-664 in the City of Newport News, at Monitor Merrimac Memorial Bridge Tunnel South, motorists can expect delays due to a vehicle crash. All south lanes are closed.","Major Incident - Traffic - Vehicle Crash"
"04/19/2025 05:11 PM ET","Fairfax (County)","I-395S",2,"On I-395 at mile marker 2 in the County of Fairfax, motorists can expect delays due to a disabled tractor trailer. The south right shoulder is closed.","Minor Incident - Traffic - Disabled Tractor Trailer"
"04/20/2025 01:07 AM ET","Norfolk (City)","I-564E",2,"On I-564 at mile marker 2 in the City of Norfolk, near Runway Tunnel, motorists can expect delays due to a multi-vehicle crash. All east lanes are closed.","Major Incident - Traffic - Multi-Vehicle Crash"
"04/20/2025 01:15 AM ET","Fairfax (County)","I-395S",0.3,"On I-395 at mile marker 0.3 in the County of Fairfax, motorists can expect delays due to a vehicle crash. The south left shoulder and left lane are closed.","Major Incident - Traffic - Vehicle Crash"
"04/20/2025 01:12 AM ET","Chesapeake (City)","I-64W",298.3,"On I-64 at mile marker 298.3 in the City of Chesapeake, near Military Highway, motorists can expect delays due to a vehicle crash. The west right shoulder is closed.","Minor Incident - Traffic - Vehicle Crash"
"04/20/2025 01:15 AM ET","Prince William (County)","VA-234N",12.9,"On VA-234 in the County of Prince William, in the vicinity of Olympic Dr; Rt. 727N/S (Prince William County), motorists can expect delays due to a vehicle crash. The south left lane and right lane are closed.","Major Incident - Traffic - Vehicle Crash"
