Update Time,Jurisdiction,Route,MRM,Description,Label
"09/05/2025, 05:56 PM ET","Arlington (County)","I-66W",68.8,"On I-66 at mile marker 68.8 in the County of Arlington, motorists can expect delays due to a disabled vehicle. The west right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"09/05/2025, 05:49 PM ET","Harrisonburg (City)","VA-253E",0,"On VA-253 in the City of Harrisonburg, in the vicinity of Neff Ave; Peach Grove Ave, motorists can expect delays due to a vehicle crash. All west lanes are closed.","Major Incident - Traffic - Vehicle Crash"
"09/05/2025, 06:15 PM ET","Richmond (City)","I-95S",79.6,"On I-95 at mile marker 79.6 in the City of Richmond, motorists can expect delays due to a multi-vehicle crash. The south right lane and right shoulder are closed. The south exit ramp narrows.","Major Incident - Traffic - Multi-Vehicle Crash"
"09/05/2025, 03:25 PM ET","Stafford (County)","Rt. 753N (Stafford County)",0,"On Rt. 753 in the County of Stafford, near Enon Road at Stafford Indians Lane, motorists can expect delays due to a vehicle crash. All east lanes are closed. All west lanes are closed.","Major Incident - Traffic - Vehicle Crash"
"09/05/2025, 06:01 PM ET","Norfolk (City)","I-264W",7,"On I-264 West in the City of Norfolk, at Downtown Tunnel West, motorists can expect major delays due to congestion. Traffic backups are approximately 2.0 miles.","Major Incident - Traffic - Congestion/Delay"
"09/05/2025, 06:05 PM ET","Fluvanna (County)","US-15N",103.1,"On US-15 in the County of Fluvanna, in the vicinity of W River Rd; VA-6E/W, motorists can expect delays due to a vehicle crash. All north lanes are closed. All south lanes are closed.","Major Incident - Traffic - Vehicle Crash"
"09/05/2025, 06:14 PM ET","Prince William (County)","I-95S",152,"On I-95 at mile marker 152 in the County of Prince William, motorists can expect delays due to a multi-vehicle crash. The south left shoulder and left lane are closed.","Major Incident - Traffic - Multi-Vehicle Crash"
"09/05/2025, 05:57 PM ET","Fairfax (County)","I-495N",50.7,"On I-495 at mile marker 50.7 in the County of Fairfax, motorists can expect delays due to a disabled vehicle. The north right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"09/05/2025, 05:24 PM ET","Norfolk (City)","I-64W",272.4,"On I-64 West in the City of Norfolk, at Hampton Roads Bridge Tunnel West, motorists can expect delays due to congestion. Traffic backups are approximately 6.25 miles.","Major Incident - Traffic - Congestion/Delay"
"09/05/2025, 05:33 PM ET","Prince William (County)","On I-66W Express Lanes at mile marker 46.7","","On I-66W Express Lanes at mile marker 46.7 in the County of Prince William, motorists can expect potential delays due to a disabled vehicle. The west left shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
