Update Time,Jurisdiction,Route,MRM,Description,Label
"04/18/2025 02:12 PM ET","Chesterfield (County)","VA-288S",0,"On VA-288 in the County of Chesterfield, in the vicinity of the ramp to I-95, motorists can expect delays due to a disabled vehicle. The south left shoulder and left lane are closed.","Major Incident - Traffic - Disabled Vehicle"
"04/18/2025 01:37 PM ET","Chesterfield (County)","I-95N",64,"On I-95 at mile marker 64 in the County of Chesterfield, motorists can expect delays due to a vehicle crash. The north left shoulder is closed.","Minor Incident - Traffic - Vehicle Crash"
"04/18/2025 02:17 PM ET","Norfolk (City)","I-64E",283.6,"On I-64 at mile marker 283.6 in the City of Norfolk, near 264 Interchange, motorists can expect delays due to a vehicle crash. The east exit 284A narrows.","Minor Incident - Traffic - Vehicle Crash"
"04/18/2025 02:07 PM ET","Newport News (City)","I-664S",7.8,"On I-664 South in the City of Newport News, at Monitor Merrimac Memorial Bridge Tunnel South, motorists can expect delays due to congestion. Traffic backups are approximately 1.5 miles.","Major Incident - Traffic - Congestion/Delay"
"04/18/2025 02:07 PM ET","New Kent (County)","I-64E",220.4,"On I-64 at mile marker 220.4 in the County of New Kent, motorists can expect delays due to a vehicle crash. The east right shoulder is closed.","Minor Incident - Traffic - Vehicle Crash"
"04/18/2025 01:55 PM ET","Suffolk (City)","I-664N",8.9,"On I-664 North in the City of Suffolk, at Monitor Merrimac Memorial Bridge Tunnel North, motorists can expect delays due to congestion. Traffic backups are approximately 1.25 miles.","Major Incident - Traffic - Congestion/Delay"
"04/18/2025 02:23 PM ET","Chesapeake (City)","I-64E",293.4,"On I-64 in the City of Chesapeake, at High Rise Bridge, motorists can expect delays due to a disabled vehicle. The east right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"04/18/2025 02:21 PM ET","Newport News (City)","I-664S",7.8,"On I-664 in the City of Newport News, at Monitor Merrimac Memorial Bridge Tunnel South, motorists can expect delays due to a disabled vehicle. All south lanes are closed. Traffic backups are approximately 1.5 miles.","Major Incident - Traffic - Disabled Vehicle"
"04/18/2025 02:20 PM ET","Mecklenburg (County)","VA-92N",14.8,"On VA-92 North in the County of Mecklenburg, in the vicinity of Spanish Grove Rd; Trottinridge Rd; Rt. 684N/S (Mecklenburg County); Rt. 609N/S (Mecklenburg County), motorists can expect delays due to a vehicle crash.","Minor Incident - Traffic - Vehicle Crash"
"04/18/2025 02:18 PM ET","Hampton (City)","I-64E",270,"On I-64 East in the City of Hampton, at Hampton Roads Bridge Tunnel East, motorists can expect delays due to congestion. Traffic backups are approximately 1.5 miles.","Major Incident - Traffic - Congestion/Delay"
"04/18/2025 02:19 PM ET","Richmond (City)","I-64W",191.3,"On I-64 at mile marker 191.3 in the City of Richmond, motorists can expect delays due to a vehicle crash. The west center lane, right lane, and right shoulder are closed.","Major Incident - Traffic - Vehicle Crash"
"04/18/2025 02:07 PM ET","Virginia Beach (City)","I-264E",18,"On I-264 at mile marker 18 in the City of Virginia Beach, near Old Toll Plaza, motorists can expect delays due to a disabled vehicle. The east right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"04/18/2025 02:21 PM ET","Botetourt (County)","I-81S",147.5,"On I-81 at mile marker 147.5 in the County of Botetourt, motorists can expect delays due to a vehicle crash. The south right shoulder is closed. Traffic backups are approximately 2.0 miles.","Major Incident - Traffic - Vehicle Crash"
"04/18/2025 01:56 PM ET","Fairfax (County)","I-495S",51,"On I-495 at mile marker 51 in the County of Fairfax, motorists can expect delays due to a disabled vehicle. The south right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"04/18/2025 01:52 PM ET","Stafford (County)","On I-95R Express Lanes at mile marker 134","","On I-95R Express Lanes at mile marker 134 in the County of Stafford, motorists can expect major delays due to congestion. Traffic backups are approximately 3.0 miles.","Major Incident - Traffic - Congestion/Delay"
"04/18/2025 02:10 PM ET","Carroll (County)","I-77S",5.4,"On I-77 at mile marker 5.4 in the County of Carroll, motorists can expect delays due to a vehicle crash. The south left shoulder is closed.","Minor Incident - Traffic - Vehicle Crash"
"04/18/2025 02:21 PM ET","Fairfax (County)","I-66W",63.6,"On I-66 at mile marker 63.6 in the County of Fairfax, motorists can expect delays due to a multi-vehicle crash. The west left lane is closed.","Major Incident - Traffic - Multi-Vehicle Crash"
"04/18/2025 01:34 PM ET","Norfolk (City)","I-64W",272.4,"On I-64 West in the City of Norfolk, at Hampton Roads Bridge Tunnel West, motorists can expect delays due to congestion. Traffic backups are approximately 6.25 miles.","Major Incident - Traffic - Congestion/Delay"
"04/18/2025 02:21 PM ET","Montgomery (County)","I-81N",113,"On I-81 at mile marker 113 in the County of Montgomery, motorists can expect delays due to a vehicle crash. The north left shoulder is closed.","Minor Incident - Traffic - Vehicle Crash"
"04/18/2025 02:22 PM ET","Henrico (County)","I-295S",45.7,"On I-295 at mile marker 45.7 in the County of Henrico, motorists can expect delays due to a disabled vehicle. The south left shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"04/18/2025 02:19 PM ET","Fairfax (County)","I-95S",169.2,"On I-95 South at mile marker 169.2 in the County of Fairfax, motorists can expect delays due to an incident.","Minor Incident - Traffic - Other Traffic"
"04/18/2025 01:54 PM ET","Stafford (County)","I-95N",146.3,"On I-95 at mile marker 146.3 in the County of Stafford, motorists can expect delays due to a disabled vehicle. The north right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
