Update Time,Jurisdiction,Route,MRM,Description,Label
"11/17/2025, 09:05 AM ET","Fairfax (County)","Rt. 684N (Fairfax County)",2.3,"On Rt. 684 North in the County of Fairfax, in the vicinity of Old Dominion Dr; Rt. 738E/W (Fairfax County), motorists can expect delays due to weather. Lane closures exist.","Weather Incident - Other Weather - Advisory"
"11/17/2025, 08:55 AM ET","Spotsylvania (County)","I-95S",130.2,"On I-95 at mile marker 130.2 in the County of Spotsylvania, motorists can expect delays due to a disabled vehicle. The south exit 130A narrows.","Minor Incident - Traffic - Disabled Vehicle"
"11/17/2025, 08:53 AM ET","Prince William (County)","I-66E",41,"On I-66 at mile marker 41 in the County of Prince William, motorists can expect delays due to a disabled vehicle. The east right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/17/2025, 09:03 AM ET","Henrico (County)","I-64E",195,"On I-64 at mile marker 195 in the County of Henrico, motorists can expect delays due to a disabled vehicle. The east right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/17/2025, 09:08 AM ET","Roanoke (County)","I-81N",140,"On I-81 at mile marker 140 in the County of Roanoke, motorists can expect delays due to a disabled vehicle. The north right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/17/2025, 09:13 AM ET","Stafford (County)","I-95N",147.4,"On I-95 at mile marker 147.4 in the County of Stafford, motorists can expect delays due to a disabled vehicle. The north right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/17/2025, 08:51 AM ET","Prince William (County)","I-95N",160.4,"On I-95 at mile marker 160.4 in the County of Prince William, motorists can expect delays due to a disabled vehicle. The north right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/17/2025, 08:58 AM ET","Albemarle (County)","I-64W",122.6,"On I-64 at mile marker 122.6 in the County of Albemarle, motorists can expect delays due to a vehicle crash. The west left shoulder and right shoulder are closed. Traffic backups are approximately 2.0 miles.","Major Incident - Traffic - Vehicle Crash"
"11/17/2025, 08:02 AM ET","Fairfax (County)","I-95R",169.4,"On I-95R North at mile marker 169.4 in the County of Fairfax, motorists can expect major delays due to congestion. Traffic backups are approximately 1.0 mile.","Minor Incident - Traffic - Congestion/Delay"
"11/17/2025, 09:05 AM ET","Prince William (County)","I-95N",158.7,"On I-95 at mile marker 158.7 in the County of Prince William, motorists can expect delays due to a disabled vehicle. The north right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"11/17/2025, 07:59 AM ET","Russell (County)","Rt. 640E (Russell County)",20.7,"On Rt. 640 East in the County of Russell, in the vicinity of State Park Rd; Rt. 721N/S (Russell County), motorists can expect delays due to a vehicle crash.","Minor Incident - Traffic - Vehicle Crash"
